time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,267.0,268.17,265.0,266.4,688,11,0
2024-01-03,263.1,263.1,252.0,252.55,1066,12,0
2024-01-04,250.0,255.41,250.0,252.25,942,11,0
2024-01-05,250.0,256.54,250.0,252.14,910,9,0
2024-01-08,251.88,261.85,251.88,259.92,738,20,0
2024-01-09,254.17,258.09,254.17,255.88,442,19,0
2024-01-10,253.71,256.6,250.41,255.08,604,12,0
2024-01-11,252.31,254.82,247.42,253.98,734,16,0
2024-01-12,257.36,257.36,242.6,247.99,622,9,0
2024-01-16,243.8,244.78,240.0,243.08,707,7,0
2024-01-17,238.0,239.75,236.01,237.63,455,10,0
2024-01-18,240.45,249.91,235.93,249.05,858,4,0
2024-01-19,249.5,250.13,244.0,248.76,512,15,0
2024-01-22,250.41,257.76,249.94,254.19,892,2,0
2024-01-23,253.89,256.63,251.39,255.52,434,17,0
2024-01-24,255.81,257.04,252.0,253.14,730,16,0
2024-01-25,253.88,260.48,253.88,256.95,534,15,0
2024-01-26,254.16,257.38,250.96,252.21,543,11,0
2024-01-29,250.0,255.5,248.0,254.84,612,7,0
2024-01-30,253.95,255.18,249.83,250.89,529,13,0
2024-01-31,246.42,247.11,238.05,239.83,617,12,0
2024-02-01,239.6,242.68,233.37,241.84,740,15,0
2024-02-02,237.61,247.71,236.0,246.1,642,10,0
2024-02-05,241.35,243.13,238.5,241.62,508,15,0
2024-02-06,240.85,243.25,239.76,242.46,462,10,0
2024-02-07,241.12,247.5,240.0,246.6,739,9,0
2024-02-08,244.52,249.48,241.56,246.93,566,8,0
2024-02-09,245.74,253.56,245.74,252.31,511,12,0
2024-02-12,251.94,259.79,251.94,258.98,681,13,0
2024-02-13,250.0,251.75,242.03,245.03,1244,8,0
2024-02-14,246.95,255.02,245.8,252.87,723,9,0
2024-02-15,275.76,291.15,275.76,282.09,715,15,0
2024-02-16,280.68,280.68,270.61,274.59,1198,14,0
2024-02-20,268.2,272.02,267.05,271.47,642,11,0
2024-02-21,266.85,275.6,265.73,273.57,806,7,0
2024-02-22,275.28,283.01,275.0,279.24,718,14,0
2024-02-23,277.5,278.79,274.01,274.79,632,13,0
2024-02-26,268.8,278.8,268.8,277.3,672,20,0
2024-02-27,276.32,278.75,273.84,274.86,445,14,0
2024-02-28,270.59,273.81,270.59,272.0,553,14,0
2024-02-29,272.63,281.42,272.63,278.98,472,17,0
2024-03-01,277.35,289.42,276.9,289.42,615,14,0
2024-03-04,290.36,292.31,285.0,290.57,469,12,0
2024-03-05,287.2,289.01,282.02,284.4,412,12,0
2024-03-06,286.73,288.68,281.39,285.84,398,18,0
2024-03-07,286.8,290.52,285.0,288.07,489,12,0
2024-03-08,288.3,289.23,281.25,282.13,554,20,0
2024-03-11,280.73,282.94,278.18,280.35,908,8,0
2024-03-12,279.21,286.46,277.8,285.2,1575,15,0
2024-03-13,281.55,285.62,279.42,284.39,564,7,0
2024-03-14,280.63,284.99,278.0,281.17,353,21,0
2024-03-15,277.44,286.33,275.68,285.32,594,17,0
2024-03-18,286.0,287.14,282.78,284.98,387,14,0
2024-03-19,281.65,287.14,277.76,284.61,459,9,0
2024-03-20,282.81,286.76,278.41,285.06,584,9,0
2024-03-21,286.88,295.96,285.86,293.98,360,14,0
2024-03-22,290.69,292.66,288.94,290.45,329,13,0
2024-03-25,291.4,299.17,290.0,297.82,628,14,0
2024-03-26,297.51,300.3,289.95,290.99,501,9,0
2024-03-27,290.08,299.46,290.08,299.29,785,13,0
2024-03-28,299.02,302.22,295.43,301.79,438,20,0
2024-04-01,300.0,302.6,296.77,300.07,392,17,0
2024-04-02,292.79,297.47,291.31,295.46,504,6,0
2024-04-03,293.29,296.07,290.56,292.4,545,20,0
2024-04-04,294.81,303.58,291.0,292.35,500,14,0
2024-04-05,291.23,291.51,287.0,290.05,363,20,0
2024-04-08,291.36,299.26,290.47,295.91,603,13,0
2024-04-09,296.77,306.66,295.17,304.98,431,20,0
2024-04-10,297.6,301.74,294.54,300.26,667,15,0
2024-04-11,299.42,299.72,292.0,297.06,431,26,0
2024-04-12,293.75,293.94,287.18,289.36,546,16,0
2024-04-15,290.82,291.86,281.0,282.71,752,10,0
2024-04-16,277.76,282.97,277.76,280.47,509,13,0
2024-04-17,278.87,281.16,274.93,275.41,368,18,0
2024-04-18,273.74,276.81,271.0,272.36,547,11,0
2024-04-19,271.29,273.96,265.2,266.46,574,13,0
2024-04-22,268.35,274.54,265.0,271.34,780,14,0
2024-04-23,269.33,277.14,269.33,276.05,497,6,0
2024-04-24,271.63,279.43,271.63,277.11,651,11,0
2024-04-25,270.13,293.16,269.98,292.31,584,12,0
2024-04-26,291.61,298.87,291.2,297.23,854,21,0
2024-04-29,297.56,303.01,297.0,299.23,581,14,0
2024-04-30,316.0,320.38,302.98,312.28,645,10,0
2024-05-01,310.91,314.78,301.74,307.61,604,18,0
2024-05-02,310.9,314.81,302.12,311.66,848,11,0
2024-05-03,314.7,315.52,307.91,309.11,714,6,0
2024-05-06,310.68,317.64,309.67,315.61,476,7,0
2024-05-07,314.79,320.18,312.53,317.3,475,12,0
2024-05-08,312.17,319.89,310.85,319.3,749,9,0
2024-05-09,315.87,319.36,313.31,315.91,512,18,0
2024-05-10,316.59,316.79,313.03,315.58,508,11,0
2024-05-13,316.04,319.9,314.39,315.36,634,8,0
2024-05-14,314.81,321.65,314.81,320.02,531,3,0
2024-05-15,322.54,325.42,321.72,323.92,1090,12,0
2024-05-16,321.5,322.92,319.31,319.43,357,18,0
2024-05-17,318.03,320.64,316.5,316.92,407,8,0
2024-05-20,315.07,320.39,315.07,318.85,450,5,0
2024-05-21,315.0,322.24,315.0,320.92,598,13,0
2024-05-22,319.48,326.93,319.48,326.01,921,16,0
2024-05-23,326.95,326.95,320.77,323.47,432,14,0
2024-05-24,322.42,326.5,321.02,325.78,384,13,0
2024-05-28,324.98,327.61,322.63,325.25,338,24,0
2024-05-29,320.59,321.1,314.34,315.98,529,17,0
2024-05-30,317.09,318.97,313.91,316.1,556,23,0
2024-05-31,316.36,317.14,306.97,310.68,429,19,0
2024-06-03,313.33,313.33,301.72,306.38,783,17,0
2024-06-04,304.0,307.61,300.91,301.87,566,4,0
2024-06-05,302.77,309.48,301.05,307.31,347,18,0
2024-06-06,305.7,308.51,301.47,306.62,485,6,0
2024-06-07,302.7,307.62,299.48,300.19,350,19,0
2024-06-10,295.8,303.55,294.38,301.94,468,25,0
2024-06-11,297.19,302.59,296.71,301.07,327,26,0
2024-06-12,305.63,308.88,300.98,304.65,589,16,0
2024-06-13,305.38,309.0,302.54,308.77,539,9,0
2024-06-14,302.91,304.03,297.18,301.15,350,17,0
2024-06-17,298.64,303.12,294.5,301.73,478,16,0
2024-06-18,300.88,300.88,293.61,294.69,367,18,0
2024-06-20,295.01,298.18,293.96,295.77,646,21,0
2024-06-21,297.0,300.82,291.28,299.99,500,13,0
2024-06-24,300.05,307.52,299.0,305.86,486,16,0
2024-06-25,305.66,308.55,303.87,304.79,534,14,0
2024-06-26,300.59,307.07,300.0,306.99,550,19,0
2024-06-27,306.05,308.51,303.55,306.7,509,14,0
2024-06-28,306.53,313.78,305.0,309.2,975,5,0
2024-07-01,306.45,308.83,303.07,305.79,779,10,0
2024-07-02,304.26,309.73,304.26,308.93,309,10,0
2024-07-03,308.53,312.68,307.13,312.68,737,25,0
2024-07-05,310.97,312.23,308.0,309.95,673,11,0
2024-07-08,310.8,314.35,310.6,313.32,293,27,0
2024-07-09,314.0,320.8,313.52,314.71,873,14,0
2024-07-10,315.0,324.3,315.0,323.7,568,21,0
2024-07-11,323.93,331.22,323.85,328.29,398,8,0
2024-07-12,326.43,333.92,324.71,324.71,411,15,0
2024-07-15,323.94,328.59,323.94,326.35,512,18,0
2024-07-16,327.75,336.94,327.68,335.75,522,11,0
2024-07-17,329.91,335.1,325.68,325.79,484,26,0
2024-07-18,325.0,328.29,320.46,322.78,506,19,0
2024-07-19,323.0,324.09,318.17,320.66,553,21,0
2024-07-22,320.73,326.74,320.0,325.49,455,14,0
2024-07-23,325.0,332.37,323.94,329.65,577,3,0
2024-07-24,326.0,329.72,320.0,321.69,644,20,0
2024-07-25,321.25,329.17,318.11,323.1,484,21,0
2024-07-26,322.88,330.33,322.85,325.89,543,23,0
2024-07-29,323.31,334.49,321.63,333.81,615,10,0
2024-07-30,355.71,365.47,346.01,347.22,751,28,0
2024-07-31,351.75,357.99,347.69,349.31,702,21,0
2024-08-01,350.38,352.56,333.29,342.23,770,19,0
2024-08-02,330.19,330.19,318.6,322.12,741,16,0
2024-08-05,303.18,318.64,301.85,316.06,614,24,0
2024-08-06,316.6,322.38,315.03,316.54,869,2,0
2024-08-07,316.91,324.06,313.0,313.78,623,13,0
2024-08-08,308.0,323.16,303.23,320.19,709,20,0
2024-08-09,317.56,322.6,315.26,319.38,403,14,0
2024-08-12,320.7,322.5,318.0,319.96,422,25,0
2024-08-13,323.42,333.38,321.43,331.06,624,8,0
2024-08-14,328.27,333.23,326.53,332.06,401,8,0
2024-08-15,336.8,344.23,336.8,342.21,473,16,0
2024-08-16,339.59,346.04,339.59,343.47,446,20,0
2024-08-19,343.5,346.76,340.01,345.59,338,18,0
2024-08-20,346.0,347.65,340.59,345.6,434,18,0
2024-08-21,341.67,346.8,339.55,344.82,379,23,0
2024-08-22,344.7,345.86,340.5,341.21,357,27,0
2024-08-23,341.5,351.22,341.5,351.18,305,20,0
2024-08-26,349.13,351.39,345.44,346.87,270,31,0
2024-08-27,344.56,345.76,342.16,344.43,374,23,0
2024-08-28,343.81,346.02,341.07,342.76,381,32,0
2024-08-29,344.61,347.89,340.57,341.75,477,28,0
2024-08-30,343.36,345.25,337.13,343.9,380,18,0
2024-09-03,340.05,340.05,328.42,329.12,280,33,0
2024-09-04,328.58,330.67,325.28,328.32,392,23,0
2024-09-05,322.87,330.87,322.87,328.65,442,22,0
2024-09-06,327.15,327.76,317.0,320.5,603,10,0
2024-09-09,319.19,327.97,319.19,326.87,534,12,0
2024-09-10,325.68,334.59,321.59,333.7,352,20,0
2024-09-11,332.92,337.23,326.27,336.72,431,22,0
2024-09-12,335.28,338.02,332.02,336.41,294,17,0
2024-09-13,335.71,342.33,335.24,337.01,469,21,0
2024-09-16,334.66,343.89,334.21,342.89,715,9,0
2024-09-17,345.27,354.32,340.82,354.32,873,14,0
2024-09-18,351.72,358.42,345.82,349.99,777,16,0
2024-09-19,357.63,365.9,355.95,363.23,950,23,0
2024-09-20,360.24,367.33,357.73,365.66,709,19,0
2024-09-23,366.0,366.0,358.18,360.71,604,18,0
2024-09-24,362.57,364.83,358.85,363.45,388,17,0
2024-09-25,362.0,366.77,362.0,365.2,498,24,0
2024-09-26,369.86,375.6,367.37,370.34,765,20,0
2024-09-27,372.32,373.23,367.06,368.28,501,10,0
2024-09-30,366.03,370.81,364.7,369.49,353,31,0
2024-10-01,367.92,369.64,363.0,363.96,725,18,0
2024-10-02,363.75,370.53,360.12,368.01,604,27,0
2024-10-03,362.78,367.67,360.4,362.85,549,12,0
2024-10-04,364.71,369.18,362.0,365.79,471,22,0
2024-10-07,359.96,365.14,358.34,363.52,664,25,0
2024-10-08,364.8,369.9,361.16,368.1,383,23,0
2024-10-09,367.16,374.34,367.0,372.25,519,25,0
2024-10-10,368.57,371.13,365.38,368.88,594,10,0
2024-10-11,370.65,376.22,369.15,373.69,478,21,0
2024-10-14,371.73,378.54,371.73,377.11,476,21,0
2024-10-15,375.85,380.24,372.05,373.8,624,17,0
2024-10-16,374.28,379.22,372.39,374.31,315,30,0
