time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,63.43,67.73,63.43,66.81,346,4,0
2024-01-03,66.29,67.08,64.75,65.92,563,2,0
2024-01-04,63.77,65.97,63.77,65.52,306,3,0
2024-01-05,62.86,66.54,62.86,64.89,266,7,0
2024-01-08,63.61,66.8,63.61,66.45,610,3,0
2024-01-09,64.05,65.99,64.05,65.36,446,4,0
2024-01-10,62.88,65.76,62.88,65.41,475,3,0
2024-01-11,62.81,64.76,62.81,64.39,460,1,0
2024-01-12,64.77,66.5,64.77,65.53,633,1,0
2024-01-16,64.72,65.42,63.82,65.39,593,3,0
2024-01-17,63.12,65.68,63.12,65.63,502,1,0
2024-01-18,63.66,66.37,63.66,66.33,596,2,0
2024-01-19,65.78,67.94,65.38,67.41,549,1,0
2024-01-22,67.5,69.12,67.4,68.86,508,3,0
2024-01-23,68.88,69.81,68.3,69.49,507,3,0
2024-01-24,69.22,69.81,68.27,68.89,453,2,0
2024-01-25,68.87,70.34,68.59,69.43,411,3,0
2024-01-26,69.13,70.34,68.95,69.32,340,3,0
2024-01-29,68.67,70.79,68.64,70.78,342,2,0
2024-01-30,69.66,70.69,69.46,69.53,314,5,0
2024-01-31,68.55,69.2,66.75,67.37,450,6,0
2024-02-01,67.45,68.57,66.77,68.15,492,3,0
2024-02-02,67.04,68.42,66.34,67.86,436,3,0
2024-02-05,66.71,67.22,65.71,66.36,378,4,0
2024-02-06,66.38,67.78,65.64,66.47,443,4,0
2024-02-07,66.21,66.21,64.6,65.22,519,3,0
2024-02-08,64.61,66.6,63.82,66.46,368,3,0
2024-02-09,65.94,67.73,65.35,67.2,321,3,0
2024-02-12,67.13,68.75,66.69,68.42,451,3,0
2024-02-13,65.61,66.26,63.54,64.51,637,4,0
2024-02-14,64.72,65.93,63.6,65.52,483,3,0
2024-02-15,65.73,67.69,65.17,67.38,423,3,0
2024-02-16,66.3,67.23,65.34,66.55,349,4,0
2024-02-20,64.81,66.47,64.24,65.67,273,3,0
2024-02-21,63.83,64.92,63.01,64.61,533,1,0
2024-02-22,64.26,67.86,64.26,66.89,595,2,0
2024-02-23,66.39,69.63,65.8,68.22,619,2,0
2024-02-26,67.09,68.81,66.19,68.77,394,2,0
2024-02-27,68.66,69.75,68.32,69.39,437,4,0
2024-02-28,68.58,69.05,67.69,68.25,561,3,0
2024-02-29,68.77,69.64,68.34,68.62,434,2,0
2024-03-01,68.03,69.17,67.09,68.72,415,3,0
2024-03-04,68.63,69.96,67.85,68.72,641,2,0
2024-03-05,66.45,67.62,65.3,65.41,518,1,0
2024-03-06,65.55,66.91,65.07,66.63,554,2,0
2024-03-07,66.79,68.73,66.63,66.94,365,2,0
2024-03-08,67.08,68.43,66.46,66.49,421,4,0
2024-03-11,65.72,68.21,65.72,67.95,372,3,0
2024-03-12,67.32,67.81,66.18,67.05,411,3,0
2024-03-13,66.2,67.41,66.1,66.36,256,3,0
2024-03-14,65.53,65.75,63.75,63.83,411,3,0
2024-03-15,63.42,64.32,62.34,62.42,462,1,0
2024-03-18,62.3,63.18,61.76,62.04,442,2,0
2024-03-19,61.35,62.91,60.61,62.44,383,2,0
2024-03-20,62.33,64.0,61.89,63.25,469,3,0
2024-03-21,63.4,63.95,62.67,63.0,384,2,0
2024-03-22,62.8,63.43,61.88,62.54,312,3,0
2024-03-25,62.59,63.0,61.85,61.89,302,3,0
2024-03-26,62.13,63.12,62.13,62.34,366,2,0
2024-03-27,63.04,63.59,62.53,63.08,467,3,0
2024-03-28,62.82,63.75,62.73,62.83,286,1,0
2024-04-01,62.32,63.06,62.1,62.42,352,2,0
2024-04-02,61.29,61.41,60.19,60.48,412,3,0
2024-04-03,60.27,60.78,59.67,59.72,369,3,0
2024-04-04,59.85,60.73,58.71,58.77,438,1,0
2024-04-05,58.47,58.9,57.74,57.74,315,3,0
2024-04-08,57.69,58.5,57.08,57.41,559,1,0
2024-04-09,57.16,58.95,57.04,58.05,337,2,0
2024-04-10,56.29,56.58,53.26,53.92,766,2,0
2024-04-11,53.97,54.29,53.6,53.79,498,2,0
2024-04-12,53.46,53.74,52.6,53.53,533,2,0
2024-04-15,53.88,54.42,52.78,53.03,498,1,0
2024-04-16,52.05,52.38,50.5,50.86,688,3,0
2024-04-17,50.89,51.34,50.0,50.22,565,1,0
2024-04-18,50.2,51.01,50.0,50.53,528,1,0
2024-04-19,50.34,51.85,50.34,51.56,456,2,0
2024-04-22,51.9,51.9,50.0,50.5,608,1,0
2024-04-23,50.33,53.26,50.09,52.98,870,1,0
2024-04-24,51.68,52.37,50.86,52.09,599,2,0
2024-04-25,51.22,51.51,50.54,50.82,501,2,0
2024-04-26,50.69,52.03,50.69,50.98,440,2,0
2024-04-29,50.88,51.64,50.61,50.77,392,2,0
2024-04-30,50.0,50.52,49.85,50.04,571,1,0
2024-05-01,50.31,50.65,49.3,49.37,493,2,0
2024-05-02,51.45,53.76,51.39,53.34,793,1,0
2024-05-03,54.65,54.68,53.02,53.62,1143,2,0
2024-05-06,54.02,55.28,53.9,54.71,483,3,0
2024-05-07,54.56,55.74,54.53,55.14,486,1,0
2024-05-08,54.3,55.56,54.0,54.49,522,1,0
2024-05-09,52.27,54.99,51.24,54.8,739,4,0
2024-05-10,54.82,54.82,52.62,53.01,464,3,0
2024-05-13,52.99,55.7,52.99,55.61,517,2,0
2024-05-14,56.17,58.26,55.85,56.74,496,2,0
2024-05-15,56.73,57.67,55.95,57.42,582,1,0
2024-05-16,56.37,57.75,56.37,57.32,524,3,0
2024-05-17,57.21,57.44,56.46,56.73,331,2,0
2024-05-20,56.38,57.53,56.28,56.59,437,3,0
2024-05-21,55.73,56.81,55.31,55.52,379,2,0
2024-05-22,55.28,56.14,54.61,54.8,479,1,0
2024-05-23,54.4,54.94,53.9,54.43,669,1,0
2024-05-24,54.75,56.0,54.75,55.55,491,1,0
2024-05-28,55.12,56.46,54.71,55.24,572,2,0
2024-05-29,54.22,55.16,54.19,54.4,480,1,0
2024-05-30,54.15,56.64,54.15,56.38,447,3,0
2024-05-31,56.26,57.58,55.84,57.28,533,3,0
2024-06-03,57.36,57.94,56.2,57.04,402,4,0
2024-06-04,56.55,57.51,55.89,56.8,451,3,0
2024-06-05,56.89,57.84,55.89,57.49,461,3,0
2024-06-06,56.61,58.11,55.9,57.32,448,2,0
2024-06-07,56.17,57.11,55.72,56.1,444,2,0
2024-06-10,54.67,56.65,54.6,56.06,358,4,0
2024-06-11,55.08,56.31,54.92,55.29,409,2,0
2024-06-12,56.62,57.28,55.44,55.57,541,5,0
2024-06-13,55.0,55.87,54.45,55.59,465,2,0
2024-06-14,54.31,56.0,54.18,55.45,666,2,0
2024-06-17,54.77,55.68,54.12,54.35,486,2,0
2024-06-18,53.87,54.32,52.63,52.63,430,2,0
2024-06-20,51.97,53.6,51.6,53.15,450,3,0
2024-06-21,52.78,55.36,52.42,54.77,415,2,0
2024-06-24,55.28,56.39,54.6,55.41,458,3,0
2024-06-25,54.63,55.03,53.98,54.62,368,2,0
2024-06-26,54.06,54.87,53.44,54.32,310,2,0
2024-06-27,54.25,54.83,53.38,54.52,340,4,0
2024-06-28,54.29,55.29,53.68,54.77,353,4,0
2024-07-01,54.95,55.05,53.05,53.36,351,5,0
2024-07-02,53.17,53.9,52.68,52.98,249,3,0
2024-07-03,52.0,54.33,51.54,53.87,202,4,0
2024-07-05,53.54,54.29,52.95,53.04,355,3,0
2024-07-08,53.04,53.51,52.51,52.93,365,4,0
2024-07-09,52.22,52.82,51.46,51.46,363,4,0
2024-07-10,46.96,48.06,44.1,46.44,702,2,0
2024-07-11,45.96,48.09,45.25,47.65,624,1,0
2024-07-12,47.9,48.66,47.21,47.81,532,2,0
2024-07-15,47.74,49.04,47.0,48.57,521,2,0
2024-07-16,48.64,49.82,48.45,49.33,434,6,0
2024-07-17,48.9,50.89,48.7,50.38,513,3,0
2024-07-18,49.98,50.89,49.46,50.24,561,3,0
2024-07-19,49.35,49.99,48.97,49.92,474,3,0
2024-07-22,49.55,49.93,48.36,49.6,449,1,0
2024-07-23,48.64,50.28,48.17,50.25,402,5,0
2024-07-24,49.1,49.96,48.31,48.74,383,5,0
2024-07-25,48.3,49.43,48.01,48.51,512,1,0
2024-07-26,48.66,49.63,48.38,48.97,475,4,0
2024-07-29,48.31,49.49,48.02,48.59,345,4,0
2024-07-30,48.5,49.1,47.81,47.88,289,4,0
2024-07-31,48.01,48.88,47.15,47.45,438,2,0
2024-08-01,47.45,47.83,44.77,45.0,512,2,0
2024-08-02,43.4,43.43,42.07,42.07,482,1,0
2024-08-05,39.49,40.75,38.62,39.8,635,3,0
2024-08-06,39.16,40.47,39.03,39.68,526,3,0
2024-08-07,40.19,41.08,39.38,39.49,517,3,0
2024-08-08,39.85,41.1,37.33,40.46,707,4,0
2024-08-09,40.69,42.0,40.12,41.2,434,2,0
2024-08-12,41.05,41.88,40.61,41.55,392,1,0
2024-08-13,41.46,42.83,41.46,42.36,367,1,0
2024-08-14,42.16,42.32,41.06,41.62,372,1,0
2024-08-15,42.64,43.62,42.24,42.83,372,4,0
2024-08-16,42.66,43.83,42.6,43.22,343,4,0
2024-08-19,43.03,45.52,43.03,44.58,356,3,0
2024-08-20,44.39,45.07,44.15,44.77,313,2,0
2024-08-21,44.78,45.79,44.29,45.57,321,3,0
2024-08-22,45.21,45.81,44.91,45.09,377,2,0
2024-08-23,45.19,46.68,45.19,46.2,410,3,0
2024-08-26,46.32,47.59,45.85,46.75,375,1,0
2024-08-27,47.15,47.55,46.05,46.74,390,1,0
2024-08-28,46.75,47.0,45.96,46.47,294,3,0
2024-08-29,46.57,49.08,46.44,48.26,463,2,0
2024-08-30,47.91,49.01,47.71,48.86,470,2,0
2024-09-03,48.05,48.55,46.95,46.95,392,2,0
2024-09-04,46.51,48.22,46.11,47.69,427,1,0
2024-09-05,47.0,48.58,46.49,46.49,415,2,0
2024-09-06,46.74,47.42,45.59,46.07,411,2,0
2024-09-09,46.54,48.63,46.19,47.38,567,2,0
2024-09-10,47.17,48.46,46.49,47.89,503,1,0
2024-09-11,47.51,48.43,46.93,47.29,498,2,0
2024-09-12,47.3,48.34,46.54,47.35,477,2,0
2024-09-13,48.15,49.77,47.69,49.16,486,3,0
2024-09-16,49.33,50.1,49.25,49.74,572,1,0
2024-09-17,49.9,51.78,49.76,51.15,663,2,0
2024-09-18,50.83,53.86,50.49,52.61,917,1,0
2024-09-19,53.31,53.87,52.55,52.6,666,3,0
2024-09-20,52.46,52.55,50.56,50.56,598,3,0
2024-09-23,50.56,50.99,49.0,50.07,683,2,0
2024-09-24,50.11,50.52,49.04,49.41,478,1,0
2024-09-25,48.57,49.0,47.19,47.19,584,1,0
2024-09-26,47.87,48.45,47.27,48.03,708,1,0
2024-09-27,48.0,49.36,47.99,48.5,693,1,0
2024-09-30,48.04,49.25,47.51,48.3,564,2,0
2024-10-01,47.81,47.86,46.58,47.02,585,1,0
2024-10-02,47.02,47.57,46.45,46.88,409,3,0
2024-10-03,46.3,46.32,43.0,43.69,612,1,0
2024-10-04,44.04,45.21,43.7,44.34,677,2,0
2024-10-07,44.13,44.43,43.68,43.99,489,2,0
2024-10-08,43.17,44.16,42.25,43.52,684,2,0
2024-10-09,43.31,44.8,43.02,43.99,521,2,0
2024-10-10,43.09,43.93,43.02,43.41,680,2,0
2024-10-11,43.79,45.14,43.6,44.76,619,1,0
2024-10-14,44.85,45.75,43.73,45.71,532,2,0
2024-10-15,45.34,46.85,45.15,46.39,644,1,0
2024-10-16,46.42,47.47,46.09,46.28,569,2,0
2024-10-17,45.45,47.33,45.45,47.17,485,1,0
2024-10-18,47.24,47.73,46.48,46.63,467,3,0
2024-10-21,46.47,47.0,45.48,45.5,398,1,0
2024-10-22,45.65,46.33,45.08,46.02,369,1,0
2024-10-23,45.82,46.39,45.33,45.97,349,3,0
2024-10-24,45.78,46.56,45.56,45.85,328,3,0
