time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,55.32,57.22,55.0,56.17,1227,1,0
2024-01-03,54.6,54.98,53.29,53.95,2024,1,0
2024-01-04,53.47,53.74,52.46,52.73,1516,1,0
2024-01-05,52.16,53.65,51.96,52.36,971,1,0
2024-01-08,52.84,54.98,52.64,54.45,844,1,0
2024-01-09,53.69,54.73,53.61,54.37,716,2,0
2024-01-10,52.62,53.94,52.57,53.16,1215,1,0
2024-01-11,52.37,53.33,50.78,52.88,981,2,0
2024-01-12,53.36,53.41,52.04,52.16,4854,1,0
2024-01-16,51.18,51.58,50.26,51.0,935,1,0
2024-01-17,49.85,50.65,49.13,50.51,1733,1,0
2024-01-18,51.03,51.33,50.19,51.28,843,1,0
2024-01-19,51.3,53.01,50.58,52.82,1826,2,0
2024-01-22,53.74,55.35,53.5,53.98,4493,1,0
2024-01-23,54.15,54.53,52.21,53.39,919,2,0
2024-01-24,53.9,54.55,52.55,52.85,1213,1,0
2024-01-25,53.0,53.66,52.86,53.34,1042,1,0
2024-01-26,54.62,55.74,54.26,54.86,748,1,0
2024-01-29,54.63,56.64,54.63,56.49,667,1,0
2024-01-30,56.21,56.81,55.46,55.72,753,1,0
2024-01-31,55.11,57.43,54.5,54.97,1046,2,0
2024-02-01,55.81,56.86,55.43,56.48,900,2,0
2024-02-02,54.3,56.18,53.66,55.84,893,2,0
2024-02-05,55.0,55.45,53.41,54.16,854,1,0
2024-02-06,54.06,55.36,53.9,55.27,637,1,0
2024-02-07,55.59,55.77,54.19,55.38,607,2,0
2024-02-08,55.12,55.6,54.33,54.34,947,3,0
2024-02-09,53.0,53.45,52.0,53.27,820,2,0
2024-02-12,53.43,54.59,53.26,53.57,966,1,0
2024-02-13,51.0,52.55,51.0,51.99,1352,1,0
2024-02-14,58.27,59.0,54.54,55.88,2469,3,0
2024-02-15,56.53,56.61,54.45,55.8,1558,1,0
2024-02-16,53.53,54.21,52.28,52.62,1112,1,0
2024-02-20,51.64,52.16,51.02,51.58,918,1,0
2024-02-21,50.75,51.85,50.75,51.57,2155,1,0
2024-02-22,51.6,52.32,51.0,51.23,1206,1,0
2024-02-23,50.93,51.68,50.75,51.3,1393,2,0
2024-02-26,51.35,52.42,50.92,51.62,981,2,0
2024-02-27,51.66,52.97,51.34,52.55,938,1,0
2024-02-28,51.82,53.74,51.82,53.01,1067,1,0
2024-02-29,54.15,54.79,52.92,54.01,864,2,0
2024-03-01,53.95,55.51,53.57,55.33,1168,1,0
2024-03-04,55.55,56.15,54.54,55.25,1647,1,0
2024-03-05,54.0,54.4,51.5,52.29,1199,1,0
2024-03-06,52.59,54.65,52.43,53.87,1265,2,0
2024-03-07,54.35,54.48,53.0,54.0,1247,1,0
2024-03-08,54.66,56.67,54.64,56.05,1130,1,0
2024-03-11,55.43,55.88,54.69,55.13,1094,1,0
2024-03-12,55.38,55.65,54.25,54.86,781,2,0
2024-03-13,54.6,56.59,53.91,53.98,1057,1,0
2024-03-14,53.74,54.29,52.53,53.13,1286,1,0
2024-03-15,52.95,53.29,44.74,46.15,3184,1,0
2024-03-18,44.65,47.8,43.79,46.59,2664,1,0
2024-03-19,46.51,48.27,46.37,46.99,2909,1,0
2024-03-20,47.1,48.4,46.45,47.91,1545,1,0
2024-03-21,47.97,50.61,47.97,50.26,1373,1,0
2024-03-22,50.18,51.09,49.4,49.82,1792,1,0
2024-03-25,49.67,50.21,48.04,48.56,1187,1,0
2024-03-26,49.14,49.57,48.03,48.06,1022,2,0
2024-03-27,48.35,49.62,48.18,49.53,1714,1,0
2024-03-28,49.34,49.84,47.7,47.74,1097,2,0
2024-04-01,48.32,48.92,46.9,47.25,1134,1,0
2024-04-02,46.06,46.25,45.25,45.7,1061,1,0
2024-04-03,45.54,46.0,45.25,45.74,762,1,0
2024-04-04,46.05,47.06,45.54,45.85,711,1,0
2024-04-05,45.4,46.38,44.42,46.15,1825,2,0
2024-04-08,45.97,46.7,45.39,46.51,579,2,0
2024-04-09,46.95,47.24,46.14,47.08,691,2,0
2024-04-10,45.0,45.24,44.01,44.37,1031,2,0
2024-04-11,44.85,44.87,43.88,44.4,707,1,0
2024-04-12,44.0,44.37,43.56,43.67,579,1,0
2024-04-15,43.48,43.65,42.24,42.37,674,3,0
2024-04-16,41.96,42.74,41.55,42.61,806,1,0
2024-04-17,42.63,42.95,41.81,41.84,668,2,0
2024-04-18,41.89,42.02,41.01,41.08,631,1,0
2024-04-19,40.93,41.53,40.7,40.94,876,1,0
2024-04-22,41.2,41.71,40.39,41.42,753,2,0
2024-04-23,41.54,43.26,41.44,43.04,817,1,0
2024-04-24,43.0,43.99,42.62,42.82,679,2,0
2024-04-25,41.58,42.94,41.35,42.38,935,1,0
2024-04-26,41.84,43.55,41.74,43.08,688,2,0
2024-04-29,43.24,43.74,42.57,43.04,683,2,0
2024-04-30,42.53,43.01,41.8,41.98,728,2,0
2024-05-01,41.87,42.81,41.0,41.38,1306,1,0
2024-05-02,38.35,39.59,38.0,39.17,1412,2,0
2024-05-03,40.8,41.69,39.78,39.95,1050,1,0
2024-05-06,40.52,41.09,40.04,40.94,786,1,0
2024-05-07,41.16,42.75,41.16,42.24,925,2,0
2024-05-08,41.28,42.02,41.05,41.05,772,1,0
2024-05-09,41.44,42.52,41.23,42.42,1024,1,0
2024-05-10,42.09,42.26,41.5,41.73,885,1,0
2024-05-13,42.06,42.74,41.83,42.03,628,1,0
2024-05-14,43.13,44.82,42.92,43.75,1087,1,0
2024-05-15,44.4,44.75,43.12,44.08,1058,1,0
2024-05-16,43.65,44.12,43.44,43.81,560,2,0
2024-05-17,43.64,43.87,43.0,43.19,469,2,0
2024-05-20,43.0,43.42,42.44,42.49,360,1,0
2024-05-21,41.99,42.15,41.56,41.73,729,1,0
2024-05-22,41.1,41.57,40.51,40.7,625,1,0
2024-05-23,40.84,40.94,39.16,39.23,710,1,0
2024-05-24,39.61,39.88,39.0,39.09,583,1,0
2024-05-28,39.14,39.87,38.85,39.0,681,1,0
2024-05-29,38.53,39.15,38.31,38.72,967,1,0
2024-05-30,38.79,39.13,38.5,38.62,659,2,0
2024-05-31,38.83,40.11,38.68,40.11,1052,1,0
2024-06-03,40.23,40.75,39.71,40.7,831,1,0
2024-06-04,40.68,41.85,40.68,40.94,816,2,0
2024-06-05,41.09,41.88,40.65,41.72,840,2,0
2024-06-06,41.5,41.91,41.04,41.6,627,1,0
2024-06-07,41.21,41.67,40.4,41.47,1141,1,0
2024-06-10,41.11,43.03,41.04,42.49,530,2,0
2024-06-11,42.24,42.24,41.26,41.71,441,1,0
2024-06-12,45.09,47.48,44.9,46.87,1613,1,0
2024-06-13,46.68,47.48,45.99,47.06,801,2,0
2024-06-14,46.5,47.3,46.0,46.42,682,3,0
2024-06-17,46.35,46.4,45.37,45.42,525,1,0
2024-06-18,45.47,47.59,45.42,47.41,697,1,0
2024-06-20,46.94,47.95,46.13,47.42,621,1,0
2024-06-21,47.54,47.66,46.9,47.57,582,1,0
2024-06-24,47.32,48.05,45.37,45.68,743,1,0
2024-06-25,45.01,45.99,44.22,44.53,660,1,0
2024-06-26,44.11,45.35,44.1,45.05,571,2,0
2024-06-27,44.93,45.64,44.64,45.19,511,2,0
2024-06-28,45.54,46.16,44.32,44.84,614,2,0
2024-07-01,44.7,44.7,43.04,44.08,502,2,0
2024-07-02,44.04,44.2,43.17,43.48,452,2,0
2024-07-03,43.44,45.09,43.0,44.32,366,2,0
2024-07-05,43.94,44.94,43.67,44.63,589,2,0
2024-07-08,44.44,45.64,43.71,45.15,583,3,0
2024-07-09,44.85,46.47,44.52,46.22,797,2,0
2024-07-10,46.21,46.55,44.95,45.85,500,2,0
2024-07-11,47.79,48.37,47.11,48.23,876,2,0
2024-07-12,48.35,49.38,47.98,48.87,1386,2,0
2024-07-15,48.22,50.3,47.92,50.0,1356,1,0
2024-07-16,50.38,52.63,50.09,52.62,1434,1,0
2024-07-17,51.51,52.8,50.98,51.15,926,2,0
2024-07-18,50.61,52.0,49.11,49.47,793,1,0
2024-07-19,49.09,49.68,48.59,49.06,618,2,0
2024-07-22,48.7,50.23,48.7,50.04,1033,2,0
2024-07-23,49.85,50.84,49.35,49.8,941,1,0
2024-07-24,49.0,49.85,46.0,46.17,1038,1,0
2024-07-25,45.93,48.11,45.65,47.41,934,2,0
2024-07-26,47.85,49.1,47.23,48.0,1025,1,0
2024-07-29,48.08,49.0,47.21,47.75,676,2,0
2024-07-30,47.84,48.11,46.86,47.67,1142,1,0
2024-07-31,47.77,49.2,46.94,47.29,1193,1,0
2024-08-01,46.75,46.75,43.7,44.2,945,2,0
2024-08-02,42.8,43.26,42.12,42.99,694,3,0
2024-08-05,40.24,42.06,40.16,41.39,1035,1,0
2024-08-06,41.0,42.14,41.0,41.14,665,2,0
2024-08-07,41.42,42.28,40.23,40.23,1457,1,0
2024-08-08,45.92,48.62,45.19,47.11,1789,3,0
2024-08-09,47.94,50.08,47.51,49.84,1477,1,0
2024-08-12,49.08,49.81,48.58,49.03,1057,1,0
2024-08-13,49.0,51.58,49.0,51.38,616,1,0
2024-08-14,51.04,51.94,49.97,51.47,858,1,0
2024-08-15,51.11,52.2,50.55,51.38,1113,2,0
2024-08-16,50.94,51.77,50.49,51.56,738,2,0
2024-08-19,51.48,53.72,51.43,53.47,604,1,0
2024-08-20,53.6,54.0,52.11,52.57,565,2,0
2024-08-21,53.1,53.4,52.01,53.09,616,1,0
2024-08-22,53.15,53.59,51.67,51.69,753,2,0
2024-08-23,51.65,55.27,51.65,54.42,1270,1,0
2024-08-26,54.9,56.32,54.72,55.68,938,2,0
2024-08-27,55.14,55.64,53.63,55.39,850,1,0
2024-08-28,54.98,54.98,53.61,54.47,900,2,0
2024-08-29,54.97,55.01,53.7,53.8,524,4,0
2024-08-30,54.1,54.34,52.67,53.31,641,2,0
2024-09-03,52.94,54.24,51.68,52.1,744,1,0
2024-09-04,51.61,52.89,51.19,51.95,791,3,0
2024-09-05,51.6,53.0,51.5,51.8,749,2,0
2024-09-06,52.21,53.62,51.03,51.45,1750,2,0
2024-09-09,51.82,52.79,51.36,52.32,702,2,0
2024-09-10,52.43,54.32,51.9,54.27,1088,2,0
2024-09-11,53.58,54.41,52.13,54.04,639,3,0
2024-09-12,54.29,54.93,53.47,54.68,789,3,0
2024-09-13,55.21,58.17,55.21,57.76,1200,2,0
2024-09-16,58.56,60.93,58.13,60.52,1592,3,0
2024-09-17,60.85,62.06,59.8,60.82,963,4,0
2024-09-18,60.65,65.45,60.0,62.97,1411,2,0
2024-09-19,65.39,66.7,64.32,65.78,1334,2,0
2024-09-20,65.69,66.33,64.13,64.98,997,2,0
2024-09-23,65.09,65.57,63.47,63.51,630,2,0
2024-09-24,63.89,65.26,63.17,65.2,1164,2,0
2024-09-25,64.31,65.31,63.75,64.14,641,4,0
2024-09-26,64.36,65.07,63.26,63.43,761,3,0
2024-09-27,63.53,64.33,62.66,63.35,633,2,0
2024-09-30,63.08,63.92,61.26,61.98,820,1,0
2024-10-01,61.25,63.21,61.02,62.64,950,3,0
2024-10-02,61.33,62.31,60.94,61.67,673,1,0
2024-10-03,61.15,61.82,60.5,61.77,712,1,0
2024-10-04,61.54,62.08,60.22,60.94,1042,1,0
2024-10-07,59.55,59.98,58.01,58.75,974,2,0
2024-10-08,59.16,61.36,58.8,60.24,860,1,0
2024-10-09,59.07,59.65,58.1,58.58,698,1,0
2024-10-10,57.33,58.98,57.3,58.69,1146,2,0
2024-10-11,58.71,60.79,58.5,60.63,958,2,0
2024-10-14,60.74,60.85,60.0,60.72,685,2,0
2024-10-15,61.49,62.19,60.53,61.33,934,3,0
2024-10-16,61.93,62.14,61.17,61.65,793,3,0
2024-10-17,61.0,61.0,59.04,60.51,729,3,0
2024-10-18,59.94,62.0,59.65,61.53,1243,2,0
2024-10-21,61.62,62.67,59.33,60.81,777,3,0
2024-10-22,60.69,61.27,58.37,58.44,914,4,0
2024-10-23,58.73,58.82,57.24,57.45,916,3,0
2024-10-24,57.94,58.75,57.3,57.56,593,3,0
2024-10-25,58.25,58.9,57.34,57.43,602,2,0
2024-10-28,57.93,58.48,57.37,57.62,569,3,0
2024-10-29,56.5,56.61,55.0,56.33,703,1,0
2024-10-30,57.21,58.32,56.44,57.6,851,3,0
2024-10-31,57.83,58.45,57.03,57.91,2138,2,0
2024-11-01,59.18,59.23,57.05,57.63,2662,2,0
2024-11-04,57.92,60.41,57.88,58.45,2677,3,0
2024-11-05,58.37,60.55,58.27,60.55,1105,2,0
2024-11-06,59.77,59.77,55.15,56.24,1868,2,0
2024-11-07,66.78,71.25,66.03,69.91,1566,4,0
2024-11-08,69.06,71.95,67.01,71.21,962,4,0
2024-11-11,71.47,73.31,70.52,73.1,666,4,0
2024-11-12,73.02,73.84,71.39,71.85,760,2,0
2024-11-13,71.78,73.06,70.48,72.21,995,4,0
2024-11-14,71.91,72.61,70.74,71.86,741,3,0
2024-11-15,70.69,71.1,69.75,70.54,596,3,0
2024-11-18,69.53,70.96,69.53,70.68,877,2,0
2024-11-19,71.09,72.66,70.13,72.6,673,3,0
2024-11-20,72.73,75.45,72.43,74.93,884,2,0
2024-11-21,74.98,79.61,74.01,78.99,1007,3,0
2024-11-22,79.43,81.59,78.64,80.79,902,4,0
2024-11-25,81.29,83.17,80.15,81.08,833,3,0
2024-11-26,80.58,82.57,79.92,81.83,669,4,0
2024-11-27,82.58,82.95,80.95,82.15,746,4,0
2024-11-29,82.33,83.15,81.23,81.27,398,4,0
2024-12-02,81.01,81.62,80.03,80.58,690,2,0
2024-12-03,80.15,81.46,79.72,80.61,733,3,0
2024-12-04,80.6,80.91,78.6,79.17,764,5,0
2024-12-05,79.69,79.94,78.18,78.18,800,3,0
2024-12-06,79.25,80.39,78.67,79.24,591,3,0
2024-12-09,79.21,80.08,78.5,78.7,493,2,0
2024-12-10,79.28,79.65,78.37,78.49,678,1,0
2024-12-11,79.16,79.63,78.39,78.59,752,3,0
2024-12-12,78.59,78.7,77.0,77.26,791,2,0
2024-12-13,77.62,77.84,76.25,76.56,531,3,0
2024-12-16,77.69,78.51,77.09,78.51,547,2,0
2024-12-17,77.79,79.27,77.04,77.36,624,4,0
2024-12-18,77.69,78.18,71.68,72.35,872,2,0
2024-12-19,73.64,73.76,71.46,71.46,896,3,0
2024-12-20,71.48,74.71,71.05,73.47,896,5,0
2024-12-23,74.03,74.03,72.35,73.2,566,5,0
2024-12-24,73.09,73.71,72.42,73.64,493,4,0
2024-12-26,72.43,74.09,72.4,73.48,652,3,0
2024-12-27,73.04,73.4,72.02,72.71,703,2,0
2024-12-30,71.59,71.93,70.72,71.27,884,1,0
2024-12-31,71.42,72.03,70.44,70.61,626,2,0
2025-01-02,70.76,71.31,68.94,69.81,920,4,0
2025-01-03,70.07,71.36,69.41,71.25,569,3,0
2025-01-06,71.42,72.95,71.16,71.92,460,5,0
2025-01-07,72.04,72.38,69.05,69.45,626,4,0
2025-01-08,68.88,68.99,67.48,67.97,1022,3,0
2025-01-10,66.42,68.57,66.2,68.22,671,5,0
2025-01-13,67.25,68.18,66.13,68.1,755,3,0
2025-01-14,68.79,69.74,68.04,68.75,575,3,0
2025-01-15,71.45,73.86,71.33,72.12,1393,3,0
2025-01-16,71.66,74.0,71.52,73.29,620,5,0
2025-01-17,75.1,75.32,73.8,74.73,1390,3,0
2025-01-21,75.45,75.5,74.28,74.77,547,2,0
2025-01-22,74.77,76.57,74.75,75.91,477,4,0
2025-01-23,75.12,76.82,74.79,76.56,477,4,0
2025-01-24,76.71,77.53,76.25,76.65,408,1,0
2025-01-27,75.26,78.15,74.88,78.09,752,4,0
2025-01-28,78.12,82.13,77.81,81.07,1003,3,0
2025-01-29,80.69,81.2,78.51,79.57,722,3,0
2025-01-30,80.79,82.0,80.41,80.95,655,6,0
