time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,215.35,217.33,210.55,212.53,1569,1,0
2024-01-03,207.38,215.47,207.38,209.62,1989,4,0
2024-01-04,210.45,212.38,208.79,209.76,1221,8,0
2024-01-05,209.8,212.02,209.0,209.59,988,4,0
2024-01-08,213.06,219.26,212.86,218.11,1497,3,0
2024-01-09,215.0,227.99,215.0,225.65,2430,4,0
2024-01-10,228.98,229.78,224.11,225.38,1544,4,0
2024-01-11,224.63,229.84,224.0,228.64,2063,4,0
2024-01-12,228.76,233.75,228.76,230.89,1960,3,0
2024-01-16,230.35,232.83,228.5,231.99,1740,3,0
2024-01-17,229.61,229.87,221.5,225.24,2097,3,0
2024-01-18,229.3,231.0,224.92,227.69,1644,2,0
2024-01-19,228.59,231.25,226.61,231.12,2767,1,0
2024-01-22,238.09,241.66,235.0,240.22,1673,2,0
2024-01-23,241.85,244.82,238.8,242.05,1743,3,0
2024-01-24,244.31,246.23,240.52,241.04,1802,2,0
2024-01-25,243.03,243.7,236.25,238.16,1807,4,0
2024-01-26,235.25,239.59,234.0,236.82,1258,4,0
2024-01-29,239.75,244.73,239.75,244.69,1292,2,0
2024-01-30,245.16,245.17,240.68,241.07,1237,4,0
2024-01-31,235.0,239.0,232.1,235.73,1802,3,0
2024-02-01,236.62,239.79,235.0,238.14,1321,6,0
2024-02-02,237.92,245.03,236.35,243.89,1640,5,0
2024-02-05,234.42,239.14,226.22,232.08,2631,3,0
2024-02-06,232.29,234.62,228.44,234.09,2165,6,0
2024-02-07,240.35,245.35,237.0,244.3,2132,1,0
2024-02-08,244.33,251.18,243.47,249.02,2078,4,0
2024-02-09,253.0,259.54,252.0,254.91,1589,4,0
2024-02-12,253.0,256.22,251.04,253.7,1509,4,0
2024-02-13,240.0,247.35,240.0,242.8,2783,5,0
2024-02-14,246.57,253.18,246.0,253.18,2483,3,0
2024-02-15,252.6,253.21,247.0,252.5,1301,8,0
2024-02-16,252.04,254.55,248.5,252.21,2167,4,0
2024-02-20,250.7,251.32,240.88,248.17,1857,5,0
2024-02-21,212.28,216.35,205.3,213.3,2707,1,0
2024-02-22,219.01,229.12,218.0,226.21,2095,1,0
2024-02-23,231.09,240.56,229.12,234.97,2714,2,0
2024-02-26,238.24,245.4,236.5,241.62,2756,2,0
2024-02-27,244.55,251.15,242.0,242.13,1646,3,0
2024-02-28,239.78,242.01,236.46,236.85,1838,3,0
2024-02-29,238.84,243.78,235.53,241.91,3205,1,0
2024-03-01,224.0,225.0,215.0,219.81,4584,1,0
2024-03-04,219.16,219.22,212.57,213.89,2581,1,0
2024-03-05,208.45,209.6,199.25,206.1,3048,4,0
2024-03-06,211.44,212.04,200.81,202.0,3443,5,0
2024-03-07,200.93,202.7,197.0,200.74,2033,3,0
2024-03-08,200.9,204.21,197.88,198.84,2352,3,0
2024-03-11,195.57,201.61,195.12,200.04,1775,3,0
2024-03-12,203.17,203.63,198.83,200.86,1423,3,0
2024-03-13,199.5,204.26,199.09,201.05,1328,4,0
2024-03-14,200.89,202.0,197.1,198.73,1090,2,0
2024-03-15,196.62,197.21,193.27,193.92,1627,2,0
2024-03-18,192.74,197.21,191.19,195.76,2366,2,0
2024-03-19,192.8,195.94,190.32,195.04,1959,3,0
2024-03-20,195.3,197.66,193.8,196.8,1463,3,0
2024-03-21,198.0,202.29,196.37,197.63,1683,4,0
2024-03-22,196.7,198.87,193.2,194.64,1351,1,0
2024-03-25,193.56,195.53,192.5,194.09,1192,1,0
2024-03-26,194.05,195.81,192.5,195.76,1040,1,0
2024-03-27,197.1,197.1,192.5,193.41,1155,1,0
2024-03-28,190.79,194.04,190.79,192.13,1322,3,0
2024-04-01,191.0,193.35,189.51,192.0,1393,3,0
2024-04-02,186.78,189.93,185.75,188.28,1583,1,0
2024-04-03,186.75,188.9,185.81,186.29,1266,3,0
2024-04-04,188.35,188.4,181.06,181.86,1869,0,0
2024-04-05,182.3,185.14,181.33,183.26,1564,3,0
