anchor,other,correlation
EURUSD_D1_20240101_20260101,EURTRY_D1_20240101_20260101,0.8297835595881778
EURUSD_D1_20240101_20260101,GBPUSD_D1_20240101_20260101,0.7859732725715057
EURUSD_D1_20240101_20260101,EURCAD_D1_20240101_20260101,0.6925974469857956
EURUSD_D1_20240101_20260101,NZDUSD_D1_20240101_20260101,0.6848662186435942
EURUSD_D1_20240101_20260101,GBPTRY_D1_20240101_20260101,0.6540947659945664
EURUSD_D1_20240101_20260101,AUDUSD_D1_20240101_20260101,0.6191498023530677
EURUSD_D1_20240101_20260101,EFAV_D1_20240101_20260101,0.5249787068781462
EURUSD_D1_20240101_20260101,NZDCAD_D1_20240101_20260101,0.4674962626957821
EURUSD_D1_20240101_20260101,SCZ_D1_20240101_20260101,0.4046595835105281
EURUSD_D1_20240101_20260101,EZU_D1_20240101_20260101,0.40215177663168633
EURUSD_D1_20240101_20260101,EFV_D1_20240101_20260101,0.39132396098027883
EURUSD_D1_20240101_20260101,GLD_D1_20240101_20260101,0.3908083409118465
EURUSD_D1_20240101_20260101,XAUUSD_D1_20240101_20260101,0.38901750340860186
EURUSD_D1_20240101_20260101,GBPCAD_D1_20240101_20260101,0.3864780741753057
EURUSD_D1_20240101_20260101,GDXJ_D1_20240101_20260101,0.3857718346271387
EURUSD_D1_20240101_20260101,AUDCAD_D1_20240101_20260101,0.3856269094380766
EURUSD_D1_20240101_20260101,GDX_D1_20240101_20260101,0.3837905525312599
EURUSD_D1_20240101_20260101,EURGBP_D1_20240101_20260101,0.3783465286465998
EURUSD_D1_20240101_20260101,EFA_D1_20240101_20260101,0.3548501776078987
EURUSD_D1_20240101_20260101,VEA_D1_20240101_20260101,0.3529810376428397
EURUSD_D1_20240101_20260101,SPDW_D1_20240101_20260101,0.3429352377092375
EURUSD_D1_20240101_20260101,RGLD_D1_20240101_20260101,0.34231514179563755
EURUSD_D1_20240101_20260101,AMT_D1_20240101_20260101,0.34188111487530165
EURUSD_D1_20240101_20260101,VXUS_D1_20240101_20260101,0.3410156262236237
EURUSD_D1_20240101_20260101,SCHF_D1_20240101_20260101,0.33936032185516135
EURUSD_D1_20240101_20260101,EURMXN_D1_20240101_20260101,0.33121824251088444
EURUSD_D1_20240101_20260101,ICLN_D1_20240101_20260101,0.3256334277428855
EURUSD_D1_20240101_20260101,NEM_D1_20240101_20260101,0.30047885276224
EURUSD_D1_20240101_20260101,EFG_D1_20240101_20260101,0.29973739373515457
EURUSD_D1_20240101_20260101,AWK_D1_20240101_20260101,0.27492139452469694
EURUSD_D1_20240101_20260101,EEM_D1_20240101_20260101,0.2681539818535162
EURUSD_D1_20240101_20260101,CCI_D1_20240101_20260101,0.2604802313446283
EURUSD_D1_20240101_20260101,VWO_D1_20240101_20260101,0.26004485402918326
EURUSD_D1_20240101_20260101,SLV_D1_20240101_20260101,0.2599889677475779
EURUSD_D1_20240101_20260101,TLT_D1_20240101_20260101,0.2555026944619426
EURUSD_D1_20240101_20260101,XAGUSD_D1_20240101_20260101,0.25482229789124045
EURUSD_D1_20240101_20260101,PSA_D1_20240101_20260101,0.254599560394946
EURUSD_D1_20240101_20260101,VPL_D1_20240101_20260101,0.25451644521173733
EURUSD_D1_20240101_20260101,TIP_D1_20240101_20260101,0.25034020206575186
EURUSD_D1_20240101_20260101,EWY_D1_20240101_20260101,0.24420311808090817
EURUSD_D1_20240101_20260101,WTRG_D1_20240101_20260101,0.242056219081357
EURUSD_D1_20240101_20260101,AAXJ_D1_20240101_20260101,0.24077694825688273
EURUSD_D1_20240101_20260101,EWZ_D1_20240101_20260101,0.23935741971409433
EURUSD_D1_20240101_20260101,DHI_D1_20240101_20260101,0.22598282046670087
EURUSD_D1_20240101_20260101,EMB_D1_20240101_20260101,0.22540003927872404
EURUSD_D1_20240101_20260101,MDLZ_D1_20240101_20260101,0.2091226172020917
EURUSD_D1_20240101_20260101,MCHI_D1_20240101_20260101,0.20897714028508954
EURUSD_D1_20240101_20260101,LEN_D1_20240101_20260101,0.20821763016254038
EURUSD_D1_20240101_20260101,MKTX_D1_20240101_20260101,0.2078987521521037
EURUSD_D1_20240101_20260101,IYR_D1_20240101_20260101,0.20489170914752627
EURUSD_D1_20240101_20260101,EURAUD_D1_20240101_20260101,0.20123640645255006
EURUSD_D1_20240101_20260101,PHM_D1_20240101_20260101,0.19982435112456307
EURUSD_D1_20240101_20260101,VNQ_D1_20240101_20260101,0.1972681401311244
EURUSD_D1_20240101_20260101,FCX_D1_20240101_20260101,0.19415564386941825
EURUSD_D1_20240101_20260101,TOL_D1_20240101_20260101,0.18865439366899017
EURUSD_D1_20240101_20260101,CL_D1_20240101_20260101,0.1882008812401756
EURUSD_D1_20240101_20260101,KO_D1_20240101_20260101,0.18747698630619108
EURUSD_D1_20240101_20260101,GBPMXN_D1_20240101_20260101,0.18698067014563474
EURUSD_D1_20240101_20260101,FE_D1_20240101_20260101,0.17877559757141878
EURUSD_D1_20240101_20260101,EWJ_D1_20240101_20260101,0.17761906844639888
EURUSD_D1_20240101_20260101,ENPH_D1_20240101_20260101,0.17644160888294483
EURUSD_D1_20240101_20260101,SO_D1_20240101_20260101,0.17000163372752236
EURUSD_D1_20240101_20260101,SMG_D1_20240101_20260101,0.16981276140847235
EURUSD_D1_20240101_20260101,KMB_D1_20240101_20260101,0.16771481516607364
EURUSD_D1_20240101_20260101,MCD_D1_20240101_20260101,0.16605400498919257
EURUSD_D1_20240101_20260101,EXC_D1_20240101_20260101,0.16295002407189668
EURUSD_D1_20240101_20260101,DUK_D1_20240101_20260101,0.16135894623375932
EURUSD_D1_20240101_20260101,DTE_D1_20240101_20260101,0.16058996332332612
EURUSD_D1_20240101_20260101,OTIS_D1_20240101_20260101,0.1596402424909899
EURUSD_D1_20240101_20260101,JNJ_D1_20240101_20260101,0.15796330423502672
EURUSD_D1_20240101_20260101,INDA_D1_20240101_20260101,0.15659682378635206
EURUSD_D1_20240101_20260101,BLDR_D1_20240101_20260101,0.1536922494474806
EURUSD_D1_20240101_20260101,PPL_D1_20240101_20260101,0.15313311616078285
EURUSD_D1_20240101_20260101,HD_D1_20240101_20260101,0.15244397383471436
EURUSD_D1_20240101_20260101,DG_D1_20240101_20260101,0.15002590816080077
EURUSD_D1_20240101_20260101,XLP_D1_20240101_20260101,0.14922046773414413
EURUSD_D1_20240101_20260101,PM_D1_20240101_20260101,0.14767534959953768
EURUSD_D1_20240101_20260101,EWT_D1_20240101_20260101,0.14523119210532123
EURUSD_D1_20240101_20260101,NEE_D1_20240101_20260101,0.14232371028153037
EURUSD_D1_20240101_20260101,LNT_D1_20240101_20260101,0.1410692777367764
EURUSD_D1_20240101_20260101,FAF_D1_20240101_20260101,0.13956489073572073
EURUSD_D1_20240101_20260101,EVRG_D1_20240101_20260101,0.13932091362283106
EURUSD_D1_20240101_20260101,YUM_D1_20240101_20260101,0.1392850067210622
EURUSD_D1_20240101_20260101,EURJPY_D1_20240101_20260101,0.13813945730764515
EURUSD_D1_20240101_20260101,CAG_D1_20240101_20260101,0.13700893632055233
EURUSD_D1_20240101_20260101,CMS_D1_20240101_20260101,0.1365935999901279
EURUSD_D1_20240101_20260101,SPA35_D1_20240101_20260101,0.13616829984768367
EURUSD_D1_20240101_20260101,TSN_D1_20240101_20260101,0.13519640464736396
EURUSD_D1_20240101_20260101,SJM_D1_20240101_20260101,0.1347886193635017
EURUSD_D1_20240101_20260101,FVD_D1_20240101_20260101,0.1342800222294754
EURUSD_D1_20240101_20260101,ROL_D1_20240101_20260101,0.1332262003458951
EURUSD_D1_20240101_20260101,WEC_D1_20240101_20260101,0.13217355791333166
EURUSD_D1_20240101_20260101,PFF_D1_20240101_20260101,0.1301705628783261
EURUSD_D1_20240101_20260101,LPX_D1_20240101_20260101,0.1301339916868119
EURUSD_D1_20240101_20260101,AEP_D1_20240101_20260101,0.1300519452267388
EURUSD_D1_20240101_20260101,BFAM_D1_20240101_20260101,0.1289590703261963
EURUSD_D1_20240101_20260101,GIS_D1_20240101_20260101,0.12819401859728977
EURUSD_D1_20240101_20260101,WSO_D1_20240101_20260101,0.12809332716123623
EURUSD_D1_20240101_20260101,FNF_D1_20240101_20260101,0.1270024692190489
EURUSD_D1_20240101_20260101,AOS_D1_20240101_20260101,0.12671465165099405
EURUSD_D1_20240101_20260101,BIO_D1_20240101_20260101,0.12618356601126104
EURUSD_D1_20240101_20260101,ZG_D1_20240101_20260101,0.12450371937939136
EURUSD_D1_20240101_20260101,KHC_D1_20240101_20260101,0.12445232194469821
EURUSD_D1_20240101_20260101,SHW_D1_20240101_20260101,0.12405662559917208
EURUSD_D1_20240101_20260101,CASY_D1_20240101_20260101,0.12396542298217493
EURUSD_D1_20240101_20260101,XLB_D1_20240101_20260101,0.12367882595404399
EURUSD_D1_20240101_20260101,STZ_D1_20240101_20260101,0.12348148768887836
EURUSD_D1_20240101_20260101,D_D1_20240101_20260101,0.12293082671472971
EURUSD_D1_20240101_20260101,OGE_D1_20240101_20260101,0.12232801939679609
EURUSD_D1_20240101_20260101,ES_D1_20240101_20260101,0.12165075707609296
EURUSD_D1_20240101_20260101,EIX_D1_20240101_20260101,0.12128980227174144
EURUSD_D1_20240101_20260101,EURCHF_D1_20240101_20260101,0.12084540173821272
EURUSD_D1_20240101_20260101,EBAY_D1_20240101_20260101,0.12029733539138533
EURUSD_D1_20240101_20260101,POOL_D1_20240101_20260101,0.12027499595791587
EURUSD_D1_20240101_20260101,JLL_D1_20240101_20260101,0.12023518600068382
EURUSD_D1_20240101_20260101,GT_D1_20240101_20260101,0.11872242472035514
EURUSD_D1_20240101_20260101,FMC_D1_20240101_20260101,0.11803160568981556
EURUSD_D1_20240101_20260101,RARE_D1_20240101_20260101,0.1163516047870967
EURUSD_D1_20240101_20260101,LII_D1_20240101_20260101,0.1158726592458178
EURUSD_D1_20240101_20260101,XLU_D1_20240101_20260101,0.11494123744869027
EURUSD_D1_20240101_20260101,MHK_D1_20240101_20260101,0.11455338291628528
EURUSD_D1_20240101_20260101,SYY_D1_20240101_20260101,0.1144227126460686
EURUSD_D1_20240101_20260101,INGR_D1_20240101_20260101,0.11390888971908598
EURUSD_D1_20240101_20260101,ICE_D1_20240101_20260101,0.11385332536882108
EURUSD_D1_20240101_20260101,EFX_D1_20240101_20260101,0.11345375260576566
EURUSD_D1_20240101_20260101,FSLR_D1_20240101_20260101,0.11127112709050502
EURUSD_D1_20240101_20260101,PPG_D1_20240101_20260101,0.10981083222601083
EURUSD_D1_20240101_20260101,XEL_D1_20240101_20260101,0.10956068750272167
EURUSD_D1_20240101_20260101,WK_D1_20240101_20260101,0.10941523655339286
EURUSD_D1_20240101_20260101,FND_D1_20240101_20260101,0.10904963354048014
EURUSD_D1_20240101_20260101,DGX_D1_20240101_20260101,0.10892216287274645
EURUSD_D1_20240101_20260101,NOC_D1_20240101_20260101,0.10868697716608104
EURUSD_D1_20240101_20260101,CME_D1_20240101_20260101,0.10853787598778487
EURUSD_D1_20240101_20260101,JKHY_D1_20240101_20260101,0.1070238939615452
EURUSD_D1_20240101_20260101,CTVA_D1_20240101_20260101,0.10686208452266653
EURUSD_D1_20240101_20260101,BWA_D1_20240101_20260101,0.10656297443909114
EURUSD_D1_20240101_20260101,PNW_D1_20240101_20260101,0.10603870184729546
EURUSD_D1_20240101_20260101,BLD_D1_20240101_20260101,0.1044158680562875
EURUSD_D1_20240101_20260101,SPLV_D1_20240101_20260101,0.10396557227715136
EURUSD_D1_20240101_20260101,AVY_D1_20240101_20260101,0.10387694546637125
EURUSD_D1_20240101_20260101,LOW_D1_20240101_20260101,0.10361357683561319
EURUSD_D1_20240101_20260101,PFE_D1_20240101_20260101,0.10333347955639202
EURUSD_D1_20240101_20260101,EURNZD_D1_20240101_20260101,0.10269636304285508
EURUSD_D1_20240101_20260101,IFF_D1_20240101_20260101,0.10231280804994743
EURUSD_D1_20240101_20260101,MO_D1_20240101_20260101,0.10220562896065093
EURUSD_D1_20240101_20260101,ABT_D1_20240101_20260101,0.10215652666376997
EURUSD_D1_20240101_20260101,SITE_D1_20240101_20260101,0.10070689731772049
EURUSD_D1_20240101_20260101,EA_D1_20240101_20260101,0.0997921685539433
EURUSD_D1_20240101_20260101,AA_D1_20240101_20260101,0.09965476522084905
EURUSD_D1_20240101_20260101,HUN_D1_20240101_20260101,0.09947790798645431
EURUSD_D1_20240101_20260101,PG_D1_20240101_20260101,0.09805198050835712
EURUSD_D1_20240101_20260101,RVTY_D1_20240101_20260101,0.09770319079728104
EURUSD_D1_20240101_20260101,COO_D1_20240101_20260101,0.09621156355810016
EURUSD_D1_20240101_20260101,BIIB_D1_20240101_20260101,0.09595975381010113
EURUSD_D1_20240101_20260101,VT_D1_20240101_20260101,0.09569056172335214
EURUSD_D1_20240101_20260101,AJG_D1_20240101_20260101,0.09516151712447983
EURUSD_D1_20240101_20260101,PGR_D1_20240101_20260101,0.09500210883524658
EURUSD_D1_20240101_20260101,HCA_D1_20240101_20260101,0.09460842627826706
EURUSD_D1_20240101_20260101,VHT_D1_20240101_20260101,0.09317182805964108
EURUSD_D1_20240101_20260101,NI_D1_20240101_20260101,0.09316107514091
EURUSD_D1_20240101_20260101,CBRE_D1_20240101_20260101,0.09299365061602265
EURUSD_D1_20240101_20260101,STE_D1_20240101_20260101,0.0928854329502815
EURUSD_D1_20240101_20260101,CNP_D1_20240101_20260101,0.09178000547714021
EURUSD_D1_20240101_20260101,TTEK_D1_20240101_20260101,0.09106298835062636
EURUSD_D1_20240101_20260101,RNG_D1_20240101_20260101,0.0907347249353935
EURUSD_D1_20240101_20260101,VZ_D1_20240101_20260101,0.09013463623829479
EURUSD_D1_20240101_20260101,TAP_D1_20240101_20260101,0.0898059493377421
EURUSD_D1_20240101_20260101,CI_D1_20240101_20260101,0.08922274985315241
EURUSD_D1_20240101_20260101,ARKG_D1_20240101_20260101,0.08909112922538595
EURUSD_D1_20240101_20260101,SCI_D1_20240101_20260101,0.08899684607695894
EURUSD_D1_20240101_20260101,KR_D1_20240101_20260101,0.08893869460742565
EURUSD_D1_20240101_20260101,XLV_D1_20240101_20260101,0.08838047240991641
EURUSD_D1_20240101_20260101,XBI_D1_20240101_20260101,0.08792311353949
EURUSD_D1_20240101_20260101,WMS_D1_20240101_20260101,0.08710843027156491
EURUSD_D1_20240101_20260101,TNDM_D1_20240101_20260101,0.08673860206341917
EURUSD_D1_20240101_20260101,MDT_D1_20240101_20260101,0.08655344938875509
EURUSD_D1_20240101_20260101,PLNT_D1_20240101_20260101,0.08645816629326827
EURUSD_D1_20240101_20260101,KDP_D1_20240101_20260101,0.08451182799046639
EURUSD_D1_20240101_20260101,ZBH_D1_20240101_20260101,0.08398576871045144
EURUSD_D1_20240101_20260101,TXG_D1_20240101_20260101,0.08358157964745716
EURUSD_D1_20240101_20260101,GPK_D1_20240101_20260101,0.08290956486299661
EURUSD_D1_20240101_20260101,ETSY_D1_20240101_20260101,0.08282506644662954
EURUSD_D1_20240101_20260101,PEN_D1_20240101_20260101,0.08276418419369337
EURUSD_D1_20240101_20260101,OKTA_D1_20240101_20260101,0.08194045245926651
EURUSD_D1_20240101_20260101,CARR_D1_20240101_20260101,0.08068521721975512
EURUSD_D1_20240101_20260101,AXTA_D1_20240101_20260101,0.08063424290336076
EURUSD_D1_20240101_20260101,RSG_D1_20240101_20260101,0.08032029812251733
EURUSD_D1_20240101_20260101,LW_D1_20240101_20260101,0.07854911693880434
EURUSD_D1_20240101_20260101,LKQ_D1_20240101_20260101,0.07803261397909438
EURUSD_D1_20240101_20260101,WHR_D1_20240101_20260101,0.0778528844029102
EURUSD_D1_20240101_20260101,TYL_D1_20240101_20260101,0.07734936726160911
EURUSD_D1_20240101_20260101,AMGN_D1_20240101_20260101,0.07713623310904501
EURUSD_D1_20240101_20260101,TFX_D1_20240101_20260101,0.07695899381693501
EURUSD_D1_20240101_20260101,BRO_D1_20240101_20260101,0.0764763406193563
EURUSD_D1_20240101_20260101,DHR_D1_20240101_20260101,0.0762672426934372
EURUSD_D1_20240101_20260101,BAX_D1_20240101_20260101,0.07619421472358778
EURUSD_D1_20240101_20260101,FBIN_D1_20240101_20260101,0.07616822419613088
EURUSD_D1_20240101_20260101,BJ_D1_20240101_20260101,0.07600257195522082
EURUSD_D1_20240101_20260101,HSIC_D1_20240101_20260101,0.07455330480646549
EURUSD_D1_20240101_20260101,UPS_D1_20240101_20260101,0.07448381178028167
EURUSD_D1_20240101_20260101,OC_D1_20240101_20260101,0.07317090309417965
EURUSD_D1_20240101_20260101,GPC_D1_20240101_20260101,0.07269205815005719
EURUSD_D1_20240101_20260101,AZO_D1_20240101_20260101,0.07259089227454003
EURUSD_D1_20240101_20260101,HDV_D1_20240101_20260101,0.07215918274984096
EURUSD_D1_20240101_20260101,MSTR_D1_20240101_20260101,0.07210815032782236
EURUSD_D1_20240101_20260101,CHFJPY_D1_20240101_20260101,0.072017938422152
EURUSD_D1_20240101_20260101,BALL_D1_20240101_20260101,0.07182410567852622
EURUSD_D1_20240101_20260101,CACI_D1_20240101_20260101,0.0712557143601963
EURUSD_D1_20240101_20260101,MRNA_D1_20240101_20260101,0.07090160752276747
EURUSD_D1_20240101_20260101,F_D1_20240101_20260101,0.07088748935673647
EURUSD_D1_20240101_20260101,RGEN_D1_20240101_20260101,0.07066494592522268
EURUSD_D1_20240101_20260101,CB_D1_20240101_20260101,0.07038004168679181
EURUSD_D1_20240101_20260101,AES_D1_20240101_20260101,0.07026459410036856
EURUSD_D1_20240101_20260101,MOS_D1_20240101_20260101,0.0697275642823535
EURUSD_D1_20240101_20260101,USMV_D1_20240101_20260101,0.06965270235971001
EURUSD_D1_20240101_20260101,POST_D1_20240101_20260101,0.06956418781488263
EURUSD_D1_20240101_20260101,UGI_D1_20240101_20260101,0.06953668726154777
