anchor,other,correlation
XAGUSD_D1_20240101_20260101,SLV_D1_20240101_20260101,0.9827304525597346
XAGUSD_D1_20240101_20260101,GDXJ_D1_20240101_20260101,0.744034504356101
XAGUSD_D1_20240101_20260101,GDX_D1_20240101_20260101,0.7206453199045563
XAGUSD_D1_20240101_20260101,XAUUSD_D1_20240101_20260101,0.6986929284476526
XAGUSD_D1_20240101_20260101,GLD_D1_20240101_20260101,0.6956660191949865
XAGUSD_D1_20240101_20260101,NEM_D1_20240101_20260101,0.5908370843332454
XAGUSD_D1_20240101_20260101,RGLD_D1_20240101_20260101,0.5899900432770933
XAGUSD_D1_20240101_20260101,FCX_D1_20240101_20260101,0.49429495495188547
XAGUSD_D1_20240101_20260101,EEM_D1_20240101_20260101,0.42860392060858427
XAGUSD_D1_20240101_20260101,AUDUSD_D1_20240101_20260101,0.4214411496655762
XAGUSD_D1_20240101_20260101,VXUS_D1_20240101_20260101,0.4148538251278801
XAGUSD_D1_20240101_20260101,VWO_D1_20240101_20260101,0.4134959329373737
XAGUSD_D1_20240101_20260101,AAXJ_D1_20240101_20260101,0.4069805463381264
XAGUSD_D1_20240101_20260101,VEA_D1_20240101_20260101,0.3918260155517742
XAGUSD_D1_20240101_20260101,AA_D1_20240101_20260101,0.390079262400601
XAGUSD_D1_20240101_20260101,SPDW_D1_20240101_20260101,0.3889411087732121
XAGUSD_D1_20240101_20260101,SCHF_D1_20240101_20260101,0.38421264004725975
XAGUSD_D1_20240101_20260101,EFV_D1_20240101_20260101,0.38079237825075324
XAGUSD_D1_20240101_20260101,SCZ_D1_20240101_20260101,0.3772739655584456
XAGUSD_D1_20240101_20260101,EFA_D1_20240101_20260101,0.37538281699324216
XAGUSD_D1_20240101_20260101,EZU_D1_20240101_20260101,0.3607533055213032
XAGUSD_D1_20240101_20260101,VPL_D1_20240101_20260101,0.3509705779036128
XAGUSD_D1_20240101_20260101,NZDUSD_D1_20240101_20260101,0.3490153754998315
XAGUSD_D1_20240101_20260101,EFG_D1_20240101_20260101,0.3466827796396467
XAGUSD_D1_20240101_20260101,EWT_D1_20240101_20260101,0.3447326923460416
XAGUSD_D1_20240101_20260101,AUDCAD_D1_20240101_20260101,0.3441890953491464
XAGUSD_D1_20240101_20260101,VT_D1_20240101_20260101,0.33087548877628314
XAGUSD_D1_20240101_20260101,XLB_D1_20240101_20260101,0.3270372298949812
XAGUSD_D1_20240101_20260101,EWY_D1_20240101_20260101,0.32466816643595636
XAGUSD_D1_20240101_20260101,MCHI_D1_20240101_20260101,0.3044906217810867
XAGUSD_D1_20240101_20260101,GBPUSD_D1_20240101_20260101,0.29078741607139613
XAGUSD_D1_20240101_20260101,AUDCHF_D1_20240101_20260101,0.28980594255882836
XAGUSD_D1_20240101_20260101,EFAV_D1_20240101_20260101,0.2866121350154734
XAGUSD_D1_20240101_20260101,AUS200_D1_20240101_20260101,0.2857217346675855
XAGUSD_D1_20240101_20260101,EWJ_D1_20240101_20260101,0.27574198804317585
XAGUSD_D1_20240101_20260101,AUDJPY_D1_20240101_20260101,0.27461323395467585
XAGUSD_D1_20240101_20260101,ICLN_D1_20240101_20260101,0.27300821182315166
XAGUSD_D1_20240101_20260101,EWZ_D1_20240101_20260101,0.272214630606873
XAGUSD_D1_20240101_20260101,STOXX50E_D1_20240101_20260101,0.2714918114942878
XAGUSD_D1_20240101_20260101,SOXX_D1_20240101_20260101,0.2687328444524474
XAGUSD_D1_20240101_20260101,GDAXI_D1_20240101_20260101,0.2685703944875458
XAGUSD_D1_20240101_20260101,CLF_D1_20240101_20260101,0.26746250471155064
XAGUSD_D1_20240101_20260101,ALB_D1_20240101_20260101,0.26661454888710884
XAGUSD_D1_20240101_20260101,ITOT_D1_20240101_20260101,0.2604553923682819
XAGUSD_D1_20240101_20260101,IWB_D1_20240101_20260101,0.2595773892420084
XAGUSD_D1_20240101_20260101,SCHB_D1_20240101_20260101,0.2591033551640031
XAGUSD_D1_20240101_20260101,SMH_D1_20240101_20260101,0.2577484209616774
XAGUSD_D1_20240101_20260101,VTI_D1_20240101_20260101,0.25771273055617877
XAGUSD_D1_20240101_20260101,FTEC_D1_20240101_20260101,0.2565304873151891
XAGUSD_D1_20240101_20260101,VXF_D1_20240101_20260101,0.25549515830747016
XAGUSD_D1_20240101_20260101,SP500_D1_20240101_20260101,0.25533182017333
XAGUSD_D1_20240101_20260101,MKSI_D1_20240101_20260101,0.25483529364756213
XAGUSD_D1_20240101_20260101,EURUSD_D1_20240101_20260101,0.25482229789124045
XAGUSD_D1_20240101_20260101,ESGU_D1_20240101_20260101,0.2545564986298357
XAGUSD_D1_20240101_20260101,LRCX_D1_20240101_20260101,0.25432645509366747
XAGUSD_D1_20240101_20260101,NDX_D1_20240101_20260101,0.2541849452390061
XAGUSD_D1_20240101_20260101,SPY_D1_20240101_20260101,0.2541796521784176
XAGUSD_D1_20240101_20260101,VGT_D1_20240101_20260101,0.25373382873736455
XAGUSD_D1_20240101_20260101,NZDCHF_D1_20240101_20260101,0.25355843492460656
XAGUSD_D1_20240101_20260101,XLK_D1_20240101_20260101,0.25258889684660735
XAGUSD_D1_20240101_20260101,IWO_D1_20240101_20260101,0.25010130566392913
XAGUSD_D1_20240101_20260101,IYW_D1_20240101_20260101,0.2492598141865848
XAGUSD_D1_20240101_20260101,QQQ_D1_20240101_20260101,0.24921462299225397
XAGUSD_D1_20240101_20260101,RARE_D1_20240101_20260101,0.2487104713477361
XAGUSD_D1_20240101_20260101,IWM_D1_20240101_20260101,0.24816103800766398
XAGUSD_D1_20240101_20260101,OEF_D1_20240101_20260101,0.24702501296531068
XAGUSD_D1_20240101_20260101,IWS_D1_20240101_20260101,0.2469311079915769
XAGUSD_D1_20240101_20260101,IUSG_D1_20240101_20260101,0.24686054594346724
XAGUSD_D1_20240101_20260101,IJH_D1_20240101_20260101,0.24626310024618114
XAGUSD_D1_20240101_20260101,IVW_D1_20240101_20260101,0.24451659771468592
XAGUSD_D1_20240101_20260101,SPYG_D1_20240101_20260101,0.24440581338877562
XAGUSD_D1_20240101_20260101,MDY_D1_20240101_20260101,0.2442640750217888
XAGUSD_D1_20240101_20260101,VLUE_D1_20240101_20260101,0.24246714206554063
XAGUSD_D1_20240101_20260101,ENTG_D1_20240101_20260101,0.24238539455574748
XAGUSD_D1_20240101_20260101,NZDJPY_D1_20240101_20260101,0.24222737284692394
XAGUSD_D1_20240101_20260101,GSLC_D1_20240101_20260101,0.24216238647374244
XAGUSD_D1_20240101_20260101,NZDCAD_D1_20240101_20260101,0.24193136281774005
XAGUSD_D1_20240101_20260101,IWF_D1_20240101_20260101,0.24178713117011
XAGUSD_D1_20240101_20260101,IWD_D1_20240101_20260101,0.24092256028471346
XAGUSD_D1_20240101_20260101,SPA35_D1_20240101_20260101,0.24076570312535733
XAGUSD_D1_20240101_20260101,SCHG_D1_20240101_20260101,0.2402012393893989
XAGUSD_D1_20240101_20260101,BLK_D1_20240101_20260101,0.23945273052024488
XAGUSD_D1_20240101_20260101,IWN_D1_20240101_20260101,0.23761707551212038
XAGUSD_D1_20240101_20260101,UK100_D1_20240101_20260101,0.2366511600698811
XAGUSD_D1_20240101_20260101,AMAT_D1_20240101_20260101,0.23664395967931437
XAGUSD_D1_20240101_20260101,ARKW_D1_20240101_20260101,0.23588420183467024
XAGUSD_D1_20240101_20260101,QUAL_D1_20240101_20260101,0.23580582533345582
XAGUSD_D1_20240101_20260101,VDE_D1_20240101_20260101,0.2357726697917837
XAGUSD_D1_20240101_20260101,RSP_D1_20240101_20260101,0.2355759854648355
XAGUSD_D1_20240101_20260101,SKYY_D1_20240101_20260101,0.2346933055161828
XAGUSD_D1_20240101_20260101,FDN_D1_20240101_20260101,0.23456259825405604
XAGUSD_D1_20240101_20260101,OXY_D1_20240101_20260101,0.23363621655500208
XAGUSD_D1_20240101_20260101,APH_D1_20240101_20260101,0.23335330875791474
XAGUSD_D1_20240101_20260101,QCOM_D1_20240101_20260101,0.2331236652905714
XAGUSD_D1_20240101_20260101,KLAC_D1_20240101_20260101,0.23212187718434066
XAGUSD_D1_20240101_20260101,MTUM_D1_20240101_20260101,0.231679168204037
XAGUSD_D1_20240101_20260101,VOE_D1_20240101_20260101,0.23162728864165033
XAGUSD_D1_20240101_20260101,SCHV_D1_20240101_20260101,0.2314758310947284
XAGUSD_D1_20240101_20260101,FCHI40_D1_20240101_20260101,0.22929752236668238
XAGUSD_D1_20240101_20260101,MPWR_D1_20240101_20260101,0.22831639128609674
XAGUSD_D1_20240101_20260101,IUSV_D1_20240101_20260101,0.22755216563809075
XAGUSD_D1_20240101_20260101,COHR_D1_20240101_20260101,0.22714263503424317
XAGUSD_D1_20240101_20260101,IJR_D1_20240101_20260101,0.2266671791627546
XAGUSD_D1_20240101_20260101,DGRO_D1_20240101_20260101,0.22632949497451538
XAGUSD_D1_20240101_20260101,MU_D1_20240101_20260101,0.2261741614330629
XAGUSD_D1_20240101_20260101,ARKK_D1_20240101_20260101,0.22519223922308784
XAGUSD_D1_20240101_20260101,MS_D1_20240101_20260101,0.22374658426126273
XAGUSD_D1_20240101_20260101,AMD_D1_20240101_20260101,0.22356695967988766
XAGUSD_D1_20240101_20260101,ARKG_D1_20240101_20260101,0.2228701197012258
XAGUSD_D1_20240101_20260101,IVE_D1_20240101_20260101,0.2220480956383963
XAGUSD_D1_20240101_20260101,XLE_D1_20240101_20260101,0.2220102982771427
XAGUSD_D1_20240101_20260101,IJS_D1_20240101_20260101,0.21981780456177547
XAGUSD_D1_20240101_20260101,VST_D1_20240101_20260101,0.21980701000694028
XAGUSD_D1_20240101_20260101,KEYS_D1_20240101_20260101,0.21977120195789676
XAGUSD_D1_20240101_20260101,SYNA_D1_20240101_20260101,0.21937538552683059
XAGUSD_D1_20240101_20260101,WDC_D1_20240101_20260101,0.21903911374183535
XAGUSD_D1_20240101_20260101,SPYV_D1_20240101_20260101,0.21870390882231047
XAGUSD_D1_20240101_20260101,CG_D1_20240101_20260101,0.21868354394271827
XAGUSD_D1_20240101_20260101,GBPTRY_D1_20240101_20260101,0.21846178863037
XAGUSD_D1_20240101_20260101,DELL_D1_20240101_20260101,0.21687752900158352
XAGUSD_D1_20240101_20260101,SLAB_D1_20240101_20260101,0.21679246171882016
XAGUSD_D1_20240101_20260101,XLC_D1_20240101_20260101,0.21649744776700125
XAGUSD_D1_20240101_20260101,INDA_D1_20240101_20260101,0.21615261937691901
XAGUSD_D1_20240101_20260101,FANG_D1_20240101_20260101,0.21607320868650653
XAGUSD_D1_20240101_20260101,LSCC_D1_20240101_20260101,0.21571903934058242
XAGUSD_D1_20240101_20260101,IPGP_D1_20240101_20260101,0.21452882495640826
XAGUSD_D1_20240101_20260101,XLU_D1_20240101_20260101,0.21309349703185587
XAGUSD_D1_20240101_20260101,LITE_D1_20240101_20260101,0.2127449950140682
XAGUSD_D1_20240101_20260101,IVZ_D1_20240101_20260101,0.2111935850905352
XAGUSD_D1_20240101_20260101,NI225_D1_20240101_20260101,0.2111862686824604
