anchor,other,correlation
XAUUSD_D1_20240101_20260101,GLD_D1_20240101_20260101,0.9873097399634675
XAUUSD_D1_20240101_20260101,GDX_D1_20240101_20260101,0.8078637581981261
XAUUSD_D1_20240101_20260101,GDXJ_D1_20240101_20260101,0.7960566359873045
XAUUSD_D1_20240101_20260101,SLV_D1_20240101_20260101,0.7004235656182177
XAUUSD_D1_20240101_20260101,XAGUSD_D1_20240101_20260101,0.6986929284476526
XAUUSD_D1_20240101_20260101,RGLD_D1_20240101_20260101,0.6796832033351562
XAUUSD_D1_20240101_20260101,NEM_D1_20240101_20260101,0.6653356981787649
XAUUSD_D1_20240101_20260101,AUDUSD_D1_20240101_20260101,0.41804600845397794
XAUUSD_D1_20240101_20260101,EURUSD_D1_20240101_20260101,0.3890175034086019
XAUUSD_D1_20240101_20260101,NZDUSD_D1_20240101_20260101,0.38664535650694914
XAUUSD_D1_20240101_20260101,GBPUSD_D1_20240101_20260101,0.3819981506778781
XAUUSD_D1_20240101_20260101,EFAV_D1_20240101_20260101,0.35208404780644526
XAUUSD_D1_20240101_20260101,FCX_D1_20240101_20260101,0.34455648685066875
XAUUSD_D1_20240101_20260101,EURTRY_D1_20240101_20260101,0.34439241198892656
XAUUSD_D1_20240101_20260101,SCZ_D1_20240101_20260101,0.34069716861150284
XAUUSD_D1_20240101_20260101,GBPTRY_D1_20240101_20260101,0.33268724510648406
XAUUSD_D1_20240101_20260101,VXUS_D1_20240101_20260101,0.3300193258579487
XAUUSD_D1_20240101_20260101,EEM_D1_20240101_20260101,0.32000876453850313
XAUUSD_D1_20240101_20260101,VEA_D1_20240101_20260101,0.3196374585892708
XAUUSD_D1_20240101_20260101,SCHF_D1_20240101_20260101,0.31361196177873274
XAUUSD_D1_20240101_20260101,EFV_D1_20240101_20260101,0.3120980514635281
XAUUSD_D1_20240101_20260101,VWO_D1_20240101_20260101,0.31006625632452983
XAUUSD_D1_20240101_20260101,SPDW_D1_20240101_20260101,0.3092878036646182
XAUUSD_D1_20240101_20260101,AUDCAD_D1_20240101_20260101,0.30198623883892733
XAUUSD_D1_20240101_20260101,EFA_D1_20240101_20260101,0.300066394495353
XAUUSD_D1_20240101_20260101,AAXJ_D1_20240101_20260101,0.29430565104039547
XAUUSD_D1_20240101_20260101,VPL_D1_20240101_20260101,0.28607542662549595
XAUUSD_D1_20240101_20260101,EFG_D1_20240101_20260101,0.2703991322335528
XAUUSD_D1_20240101_20260101,EZU_D1_20240101_20260101,0.2664390490917145
XAUUSD_D1_20240101_20260101,NZDCAD_D1_20240101_20260101,0.25566626522259067
XAUUSD_D1_20240101_20260101,EWY_D1_20240101_20260101,0.25387284863239906
XAUUSD_D1_20240101_20260101,ICLN_D1_20240101_20260101,0.24818852523249432
XAUUSD_D1_20240101_20260101,XLB_D1_20240101_20260101,0.24200669699845606
XAUUSD_D1_20240101_20260101,EWT_D1_20240101_20260101,0.23945805515751203
XAUUSD_D1_20240101_20260101,AA_D1_20240101_20260101,0.23145933758990567
XAUUSD_D1_20240101_20260101,XLU_D1_20240101_20260101,0.2166162479111722
XAUUSD_D1_20240101_20260101,EWJ_D1_20240101_20260101,0.2135342101497275
XAUUSD_D1_20240101_20260101,MCHI_D1_20240101_20260101,0.2047699519896063
XAUUSD_D1_20240101_20260101,AUS200_D1_20240101_20260101,0.20302323219137863
XAUUSD_D1_20240101_20260101,OGE_D1_20240101_20260101,0.19870988645519935
XAUUSD_D1_20240101_20260101,INDA_D1_20240101_20260101,0.1986457874569134
XAUUSD_D1_20240101_20260101,RARE_D1_20240101_20260101,0.19557916250459556
XAUUSD_D1_20240101_20260101,IYR_D1_20240101_20260101,0.19430626158631228
XAUUSD_D1_20240101_20260101,AMT_D1_20240101_20260101,0.19182586394164278
XAUUSD_D1_20240101_20260101,VNQ_D1_20240101_20260101,0.19059712750036353
XAUUSD_D1_20240101_20260101,DTE_D1_20240101_20260101,0.18778138380515866
XAUUSD_D1_20240101_20260101,EWZ_D1_20240101_20260101,0.1845509955022222
XAUUSD_D1_20240101_20260101,EVRG_D1_20240101_20260101,0.1838835836042569
XAUUSD_D1_20240101_20260101,VT_D1_20240101_20260101,0.18263911396185145
XAUUSD_D1_20240101_20260101,WTRG_D1_20240101_20260101,0.18240358587396946
XAUUSD_D1_20240101_20260101,TIP_D1_20240101_20260101,0.18124975606949484
XAUUSD_D1_20240101_20260101,CMS_D1_20240101_20260101,0.1803534948316443
XAUUSD_D1_20240101_20260101,PNW_D1_20240101_20260101,0.1770322129329578
XAUUSD_D1_20240101_20260101,FE_D1_20240101_20260101,0.1745093637568805
XAUUSD_D1_20240101_20260101,PPL_D1_20240101_20260101,0.17327804997968513
XAUUSD_D1_20240101_20260101,DUK_D1_20240101_20260101,0.17291294690028033
XAUUSD_D1_20240101_20260101,CCI_D1_20240101_20260101,0.1721787678752412
XAUUSD_D1_20240101_20260101,CLF_D1_20240101_20260101,0.17199660874336575
XAUUSD_D1_20240101_20260101,AWK_D1_20240101_20260101,0.17100191840361617
XAUUSD_D1_20240101_20260101,PEG_D1_20240101_20260101,0.16913321717768665
XAUUSD_D1_20240101_20260101,EMB_D1_20240101_20260101,0.1668466013569313
XAUUSD_D1_20240101_20260101,MOS_D1_20240101_20260101,0.16680529910000585
XAUUSD_D1_20240101_20260101,WEC_D1_20240101_20260101,0.1627802553872518
XAUUSD_D1_20240101_20260101,SO_D1_20240101_20260101,0.1619963131541552
XAUUSD_D1_20240101_20260101,EURCAD_D1_20240101_20260101,0.15983741859238562
XAUUSD_D1_20240101_20260101,ARKG_D1_20240101_20260101,0.15605904902895032
XAUUSD_D1_20240101_20260101,PSA_D1_20240101_20260101,0.1541817283938252
XAUUSD_D1_20240101_20260101,COO_D1_20240101_20260101,0.15321415149814213
XAUUSD_D1_20240101_20260101,IFF_D1_20240101_20260101,0.15241108467612471
XAUUSD_D1_20240101_20260101,WMB_D1_20240101_20260101,0.15186484898377853
XAUUSD_D1_20240101_20260101,TDY_D1_20240101_20260101,0.15081510251858482
XAUUSD_D1_20240101_20260101,LNT_D1_20240101_20260101,0.14664626540792322
XAUUSD_D1_20240101_20260101,NOC_D1_20240101_20260101,0.14531499872746403
XAUUSD_D1_20240101_20260101,HII_D1_20240101_20260101,0.14485650125962882
XAUUSD_D1_20240101_20260101,HDV_D1_20240101_20260101,0.1447365306304754
XAUUSD_D1_20240101_20260101,DGX_D1_20240101_20260101,0.14382222358912186
XAUUSD_D1_20240101_20260101,AEP_D1_20240101_20260101,0.14343697115256926
XAUUSD_D1_20240101_20260101,XTIUSD_D1_20240101_20260101,0.14332262324143852
XAUUSD_D1_20240101_20260101,NI_D1_20240101_20260101,0.14181312963903234
XAUUSD_D1_20240101_20260101,CASY_D1_20240101_20260101,0.141481715416369
XAUUSD_D1_20240101_20260101,UK100_D1_20240101_20260101,0.14099784202411578
XAUUSD_D1_20240101_20260101,TTWO_D1_20240101_20260101,0.14010136837201262
XAUUSD_D1_20240101_20260101,OTIS_D1_20240101_20260101,0.13838930646058029
XAUUSD_D1_20240101_20260101,FVD_D1_20240101_20260101,0.13753786312627644
XAUUSD_D1_20240101_20260101,USMV_D1_20240101_20260101,0.13683795126907505
XAUUSD_D1_20240101_20260101,OXY_D1_20240101_20260101,0.1362205112625861
XAUUSD_D1_20240101_20260101,ROL_D1_20240101_20260101,0.1357591753627121
XAUUSD_D1_20240101_20260101,UGI_D1_20240101_20260101,0.1356167205576082
XAUUSD_D1_20240101_20260101,GBPCAD_D1_20240101_20260101,0.1354102249880594
XAUUSD_D1_20240101_20260101,NEE_D1_20240101_20260101,0.13520550478757634
XAUUSD_D1_20240101_20260101,KMI_D1_20240101_20260101,0.13425282758868573
XAUUSD_D1_20240101_20260101,ENPH_D1_20240101_20260101,0.13385871061897484
XAUUSD_D1_20240101_20260101,BA_D1_20240101_20260101,0.13384125324064064
XAUUSD_D1_20240101_20260101,MPWR_D1_20240101_20260101,0.13370238071307103
XAUUSD_D1_20240101_20260101,CNP_D1_20240101_20260101,0.13243405604736766
XAUUSD_D1_20240101_20260101,MKTX_D1_20240101_20260101,0.13200136284935143
XAUUSD_D1_20240101_20260101,KBR_D1_20240101_20260101,0.13175829371919648
XAUUSD_D1_20240101_20260101,TXG_D1_20240101_20260101,0.1313475752224314
XAUUSD_D1_20240101_20260101,EQT_D1_20240101_20260101,0.13086664562576816
XAUUSD_D1_20240101_20260101,VOE_D1_20240101_20260101,0.13084369995059225
XAUUSD_D1_20240101_20260101,LYFT_D1_20240101_20260101,0.12979565988184452
XAUUSD_D1_20240101_20260101,PM_D1_20240101_20260101,0.12905385970135325
XAUUSD_D1_20240101_20260101,IWS_D1_20240101_20260101,0.12782135222494068
XAUUSD_D1_20240101_20260101,IWO_D1_20240101_20260101,0.1272590855907459
XAUUSD_D1_20240101_20260101,SPLV_D1_20240101_20260101,0.1269703818004925
XAUUSD_D1_20240101_20260101,RMD_D1_20240101_20260101,0.12689068480531404
XAUUSD_D1_20240101_20260101,IWM_D1_20240101_20260101,0.12678623166497524
XAUUSD_D1_20240101_20260101,GWRE_D1_20240101_20260101,0.1263303087052645
XAUUSD_D1_20240101_20260101,VST_D1_20240101_20260101,0.12599493414626034
XAUUSD_D1_20240101_20260101,PLD_D1_20240101_20260101,0.1254833077962065
XAUUSD_D1_20240101_20260101,LHX_D1_20240101_20260101,0.12532206843266
XAUUSD_D1_20240101_20260101,D_D1_20240101_20260101,0.12355648722110403
