symbol,adf_p_level,adf_p_diff,adf_I(1),pp_p_level,pp_p_diff,pp_I(1)
A,0.22000202125795804,0.0,True,0.19326639474744173,0.0,True
AA,0.622231025185334,0.0,True,0.572745356662079,0.0,True
AAL,0.4352847791529266,0.0,True,0.26045030848540895,0.0,True
AAP,0.48407774972303663,0.0,True,0.4644715475531952,0.0,True
AAPL,0.5871628248924956,1.0228155073685258e-20,True,0.7266547563417685,0.0,True
AAXJ,0.8188682815817757,2.339744670573303e-22,True,0.8461456222732171,0.0,True
ABBV,0.4867832694913753,0.0,True,0.5165218085135881,0.0,True
ABT,0.3944115482660362,0.0,True,0.4891291110591198,0.0,True
ACHC,0.9616552580428843,0.0,True,0.9616922939193517,0.0,True
ACM,0.4264593669400826,0.0,True,0.4515503891065892,0.0,True
ACN,0.6742411945628928,0.0,True,0.6384007325169012,0.0,True
ADBE,0.6008561943709588,0.0,True,0.6229686623669425,0.0,True
ADI,0.23131938432886584,4.4842580981606306e-23,True,0.2629865061953442,0.0,True
ADM,0.08671540839852326,3.191686482769135e-09,True,0.04923636290498682,0.0,False
ADP,0.3796692678142077,0.0,True,0.39885631903173396,0.0,True
ADSK,0.3404242582709437,0.0,True,0.3394435691651706,0.0,True
AEP,0.6556475671960075,0.0,True,0.6682099456046348,0.0,True
AES,0.3615624788016568,1.0830654069861757e-21,True,0.3520340781098958,0.0,True
AFG,0.008514062401205382,0.0,False,0.025906765606410007,0.0,False
AFL,0.4216351616502906,0.0,True,0.5078483798990208,0.0,True
AGCO,0.050367291833674464,8.16081423740542e-25,True,0.06570586429499978,0.0,True
AIG,0.051926013677612876,4.174256614483733e-27,True,0.08506198840402146,0.0,True
AIZ,0.6261023348848023,0.0,True,0.6771176390611072,0.0,True
AJG,0.2693843305977067,8.572693813301731e-20,True,0.2909816603165154,0.0,True
AKAM,0.18295987732843144,0.0,True,0.24716828904920568,0.0,True
AL,0.6127181316889179,0.0,True,0.6387944547309776,0.0,True
ALB,0.5362758909592856,0.0,True,0.46982441434237115,0.0,True
ALGN,0.693019948456092,0.0,True,0.7053417036021364,0.0,True
ALK,0.4399048071249779,0.0,True,0.33142425447704715,0.0,True
ALL,0.09833411414667259,0.0,True,0.12384752682299083,0.0,True
ALLY,0.0739047586350922,0.0,True,0.07679018698044465,0.0,True
ALNY,0.8350914880632812,3.5887311157636896e-21,True,0.8096541063281282,0.0,True
AMAT,0.407686027284888,0.0,True,0.4179274184824353,0.0,True
AMD,0.6567983317047247,1.7625709539865397e-22,True,0.6247805842560599,0.0,True
AME,0.18861135056977119,7.572572776755642e-30,True,0.22245591793178565,0.0,True
AMG,0.959496019453639,0.0,True,0.9877185207079198,0.0,True
AMGN,0.12134031646472021,0.0,True,0.09333326257332836,0.0,True
AMKR,0.744613321287471,0.0,True,0.716173617287724,0.0,True
AMP,0.18196538632094655,0.0,True,0.21880407040087546,0.0,True
AMT,0.32395560634782683,0.0,True,0.2743056346534392,0.0,True
AMZN,0.14085423171303774,0.0,True,0.18519383473846956,0.0,True
AN,0.3799744619999105,0.0,True,0.4555525485988836,0.0,True
ANET,0.4255541293287147,2.770697200682415e-27,True,0.40384581837599265,0.0,True
AON,0.24690410064599422,0.0,True,0.2686030353255823,0.0,True
AOS,0.480753032425172,0.0,True,0.5670642856781334,0.0,True
APA,0.4864297892694538,1.9238733904188335e-15,True,0.26417424206204243,0.0,True
APD,0.3350190963306424,0.0,True,0.3249643228128844,0.0,True
APH,0.9132514249416888,2.8723561876301837e-24,True,0.9421092063494082,0.0,True
APLS,0.41878198319186194,0.0,True,0.43270787042633013,0.0,True
ARCC,0.17309623086702208,6.604126458032385e-06,True,0.0751913230141246,0.0,True
ARES,0.1074432991463708,2.0860359452972807e-17,True,0.1094930606203921,0.0,True
ARKG,0.03110497078568865,0.0,False,0.049832530808841896,0.0,False
ARKK,0.7946560710170072,0.0,True,0.8185911085990378,0.0,True
ARKW,0.7874317721386181,0.0,True,0.7900572780327773,0.0,True
ARMK,0.12669826895437614,2.512081416701947e-27,True,0.11530127564070841,0.0,True
ARW,0.08253835355473743,0.0,True,0.09665054028176534,0.0,True
ARWR,0.9686334017095635,0.0,True,0.9615803302932538,0.0,True
ASH,0.8217456368071299,0.0,True,0.8273892261819044,0.0,True
AUDCAD,0.06533652544602497,9.114620591023275e-27,True,0.06185561978357723,0.0,True
AUDCHF,0.7324567966869916,4.159963383673402e-26,True,0.7414295956006682,0.0,True
AUDJPY,0.4667900827710989,1.496695198183145e-25,True,0.37469022169336114,0.0,True
AUDNZD,0.9081474855293509,0.0,True,0.8834599826070766,0.0,True
AUDUSD,0.10962572981889418,6.434219077374863e-27,True,0.08445502239064362,0.0,True
AUS200,0.4423148346110738,2.923824672254572e-27,True,0.4860052799471663,0.0,True
AVGO,0.7257078259821594,1.0274592141489828e-24,True,0.7434925864346589,0.0,True
AVTR,0.8593285995737641,0.0,True,0.9003096439577065,0.0,True
AVY,0.6859126437550273,4.8306221113119885e-15,True,0.6879140690435336,0.0,True
AWI,0.6120582283519316,0.0,True,0.5982363788330394,0.0,True
AWK,0.1518872823484267,7.394871053604048e-30,True,0.17946046410592825,0.0,True
AXON,0.43691879628436936,0.0,True,0.4729868757290804,0.0,True
AXP,0.5195672921611164,1.8789718827480996e-23,True,0.5682019974781229,0.0,True
AXTA,0.2232065253171538,0.0,True,0.2489310268850422,0.0,True
AYI,0.32240386063569504,0.0,True,0.3173998290853559,0.0,True
AZO,0.21846373369216815,1.2406852656440737e-21,True,0.2555443128364864,0.0,True
AZTA,0.5366007476198075,0.0,True,0.5750176129721981,0.0,True
BA,0.1346635045027031,0.0,True,0.12925441155691608,0.0,True
BAC,0.6691264840870448,0.0,True,0.7158073594007064,0.0,True
BAH,0.9202644854993784,2.0275355141997916e-22,True,0.9153675022238882,0.0,True
BALL,0.5520431989161646,0.0,True,0.5827158066038608,0.0,True
BAX,0.9219169128279325,0.0,True,0.9446416708592756,0.0,True
BBY,0.23183800036139218,0.0,True,0.28444599855095354,0.0,True
BC,0.41641914308478895,0.0,True,0.3390902994360814,0.0,True
BDX,0.48268309303454887,0.0,True,0.593681990924507,0.0,True
BEN,0.18671668651563195,0.0,True,0.13425978546404588,0.0,True
BFAM,0.25218317821831776,6.783039239892838e-25,True,0.10720555826164752,0.0,True
BIIB,0.28094045686299596,0.0,True,0.2779375218452653,0.0,True
BILL,0.25695929770298964,1.4947547162127342e-27,True,0.1934948120109607,0.0,True
BIO,0.3033094243684825,0.0,True,0.25542385991058647,0.0,True
BJ,0.26912709452110034,1.2095076236461082e-29,True,0.30283855723418857,0.0,True
BK,0.9024422782318575,1.327591875277582e-23,True,0.9027203129968915,0.0,True
BKNG,0.5534131675122557,0.0,True,0.597506404707285,0.0,True
BKR,0.545420669019217,1.6479854917293902e-24,True,0.6299980001222706,0.0,True
BL,0.0871833501392748,0.0,True,0.0635141298096734,0.0,True
BLD,0.29747375110535507,1.3358801635248539e-22,True,0.35660279429607766,0.0,True
BLDR,0.7118068592492921,0.0,True,0.7744197460035818,0.0,True
BLK,0.5984438771065135,4.0914544426999883e-26,True,0.6692497641157058,0.0,True
BMRN,0.35330006147018445,0.0,True,0.38519890822722147,0.0,True
BMY,0.33238343284750327,0.0,True,0.3089057993265181,0.0,True
BR,0.5276913216424238,2.891899389833448e-15,True,0.4477877626265896,0.0,True
BRKb,0.16400210497018985,0.0,True,0.16057114361436403,0.0,True
BRKR,0.6443192134202325,0.0,True,0.6795013850418099,0.0,True
BRO,0.3395202435952353,0.0,True,0.32551581751569036,0.0,True
BRSL,0.2001432600771369,0.0,True,0.2594666147880844,0.0,True
BSX,0.11712007682655001,0.0,True,0.08421651541734732,0.0,True
BURL,0.2006075814360569,2.668279212102416e-24,True,0.21829513833758973,0.0,True
BWA,0.8304066272109607,0.0,True,0.7950308038014273,0.0,True
BX,0.3772364833771713,0.0,True,0.3884321249019885,0.0,True
BYD,0.7086395836409971,2.4645710106661697e-23,True,0.7686179173217765,0.0,True
C,0.9185564514139393,0.0,True,0.9455702030171229,0.0,True
CABO,0.8654539138110721,0.0,True,0.8846342784008254,0.0,True
CACC,0.013234156771497075,0.0,False,0.013590626143413836,0.0,False
CACI,0.2652077199538474,3.608142716528192e-21,True,0.30283156998642125,0.0,True
CADCHF,0.8901209600514914,0.0,True,0.901435116068414,0.0,True
CADJPY,0.334510983792188,0.0,True,0.30252681340402976,0.0,True
CAG,0.9561322319634413,1.8302372906991027e-24,True,0.9781446080669616,0.0,True
CAH,0.9815322237903306,1.63576006847391e-22,True,0.9763642188730743,0.0,True
CAR,0.26924404279046354,1.7480930311704577e-20,True,0.24963221485837372,0.0,True
CARR,0.4526929005785976,0.0,True,0.45525462675969697,0.0,True
CASY,0.6121706235198991,0.0,True,0.6448784097811833,0.0,True
CAT,0.9082669009390064,0.0,True,0.9087253150681005,0.0,True
CB,0.09398973004553884,4.8302334882776114e-30,True,0.14963786293836445,0.0,True
CBRE,0.793414105968351,0.0,True,0.8190667413388152,0.0,True
CC,0.4570416096922427,1.8839773468980074e-27,True,0.5247393176348754,0.0,True
CCI,0.19117814047335685,0.0,True,0.1558945916797238,0.0,True
CCK,0.3636482114217925,8.080528593330165e-27,True,0.3874185980301995,0.0,True
CCL,0.7336655218080108,2.0530290348629456e-15,True,0.7578081478960799,0.0,True
CDNS,0.06536312654330986,0.0,True,0.06388851354905087,0.0,True
CDW,0.8750483992949036,0.0,True,0.9000173333478229,0.0,True
